Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
Beanie Carhartt,Carhartt,5.0,Good,3,4.9,376,"Gedragen, licht pluizig. One size",https://www.vinted.fr/items/5768732373-beanie-carhartt
Gorro laranja 🍊,Carhartt,5.0,Good,9,5,91,"Usado. 
Confortável e adaptável.
Aproveite e veja outras peças na minha loja para obter descontos e pagar apenas um envio!☀️💜",https://www.vinted.fr/items/5767251162-gorro-laranja
Carhartt Heart beanie,Carhartt,18.0,Good,4,5,33,Schöne Mütze für den Winter. Wurde wenig getragen.,https://www.vinted.fr/items/5767241616-carhartt-heart-beanie
Bonnet carhartt,Carhartt,3.0,Good,14,4.6,10,Bon état,https://www.vinted.fr/items/5765809703-bonnet-carhartt
Cappello Carhartt lana grigio,Carhartt,5.0,Good,6,5,12,Cappello Carhartt lana grigio,https://www.vinted.fr/items/5765624856-cappello-carhartt-lana-grigio
Carhartt beanie,Carhartt,4.99,Good,31,4.4,117,A bit worn,https://www.vinted.fr/items/5765550975-carhartt-beanie
Carhartt Mütze,Carhartt,6.0,Good,11,4.9,19,Carhartt Mütze,https://www.vinted.fr/items/5764826573-carhartt-mutze
Berretto carhartt,Carhartt,5.0,Good,4,4.9,37,"Usato poche volte. Da lavare, è nell'armadio da anni.",https://www.vinted.fr/items/5763568906-berretto-carhartt
Bonnet carhartt,Carhartt,4.0,Good,14,4.8,115,Bon etat,https://www.vinted.fr/items/5763412208-bonnet-carhartt
Bonnet Carhartt brodé gris,Carhartt,8.0,Good,4,5,774,"Bonnet Carhartt gris 
Broderie noire 
Bon état quelques peluches voir photos 




#carhartt #bonnetcarhartt #carharttworkinprogress #bonnetcarharttbrodé #bonnetcarharttgris  #bonnetunisexe #bonnethomme #accessoirecarhartt #workinprogress",https://www.vinted.fr/items/5762273832-bonnet-carhartt-brode-gris
Cappello carhartt,Carhartt,7.5,Good,3,4.3,13,"cappello carhartt nero, unisex",https://www.vinted.fr/items/5761593474-cappello-carhartt
