Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
bonnet cahartt,Carhartt,6.0,Very good,3,4.5,66,bonnet cahartt en très bonne état,https://www.vinted.fr/items/5949079512-bonnet-cahartt
Bonnet bordeaux Carhartt,Carhartt,12.0,Very good,3,4.5,241,"Bonnet porté 2 fois en très bon état 

Taille unique",https://www.vinted.fr/items/5946627520-bonnet-bordeaux-carhartt
Bonnet carhartt,Carhartt,5.0,Very good,6,4.6,47,Porter plusieurs fois,https://www.vinted.fr/items/5946262870-bonnet-carhartt
berretto Carhartt nero,Carhartt,8.0,Very good,4,5,35,"Berretto Carhartt nero, come nuovo.",https://www.vinted.fr/items/5944942988-berretto-carhartt-nero
Bonnet Carhartt noir,Carhartt,10.0,Very good,4,4.7,353,Bonnet Carhartt noir en laine avec broderie couleur dorée #carhartt #carharttwip #bonnetcarhartt,https://www.vinted.fr/items/5943948821-bonnet-carhartt-noir
Mütze Carhartt Erwachsene,Carhartt,5.0,Very good,9,5,291,Super Zustand,https://www.vinted.fr/items/5943517835-mutze-carhartt-erwachsene
Bonnet,Carhartt,6.0,Very good,24,4.8,53,Bonnet carhartt,https://www.vinted.fr/items/5942812049-bonnet
Carharrt Mütze,Carhartt,12.0,Very good,5,4.9,446,"Wie neu!
#carhartt #beanie",https://www.vinted.fr/items/5941189450-carharrt-mutze
Gorro Carhartt,Carhartt,10.0,Very good,9,5,3,#Carhartt #Beanie #Touca #Marrom #Streetwear #Casual #Inverno #Moda #Acessórios #Unissex #Estilo #CarharttWIP #Look,https://www.vinted.fr/items/5941134261-gorro-carhartt
Carhartt Mütze,Carhartt,5.0,Very good,6,4.3,11,"Reflektierendes Logo 
Guter Zustand",https://www.vinted.fr/items/5940968336-carhartt-mutze
Cappello carhartt,Carhartt,7.0,Very good,3,5,27,Cappello carhartt,https://www.vinted.fr/items/5937867949-cappello-carhartt
Bonnet,Carhartt,5.0,Very good,3,No rating,No evaluations,Porté quelques fois,https://www.vinted.fr/items/5937658610-bonnet
Berretto Carhartt,Carhartt,6.0,Very good,4,No rating,No evaluations,WATCH UNISEX - Berretto - natural,https://www.vinted.fr/items/5936426628-berretto-carhartt
Carhartt bonnet,Carhartt,8.0,Very good,4,4.8,422,Bonnet Carhartt taille unique,https://www.vinted.fr/items/5934424724-carhartt-bonnet
Berretto carhartt arancione,Carhartt,5.0,Very good,8,5,29,Berretto carhartt usato pochissimo,https://www.vinted.fr/items/5929558948-berretto-carhartt-arancione
Bonnet Carhartt,Carhartt,10.0,Very good,5,5,6,"Carhartt WIP Stratus Low

👕 Taille unique

📦 Envoi dans les 48h maximum après achat 

🔔 N’hésitez pas à me contacter si vous avez des questions !

#carhartt #carharttwip #hat #bonnet",https://www.vinted.fr/items/5928834730-bonnet-carhartt
Carhartt muts groen,Carhartt,7.5,Very good,3,4.9,169,"Amper gedragen 
Carhartt muts 
Groen 
Maat universeel",https://www.vinted.fr/items/5928826683-carhartt-muts-groen
