Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
Carhartt Mütze,Carhartt,4.0,3,3,5,9,"Sehr guter Zustand, selten getragen",https://www.vinted.fr/items/5964904981-carhartt-mutze
Carharrt Mütze beige NEU,Carhartt,8.0,3,14,5,215,"Ungetragene Mütze von Carharrt 
Beige",https://www.vinted.fr/items/5956901686-carharrt-mutze-beige-neu
Black beanis,Carhartt,3.0,4,1,4.7,13,Unisex good quality,https://www.vinted.fr/items/5964497295-black-beanis
Carhartt Mütze Wollmütze Beanie Unisex,Carhartt,12.0,3,8,4.8,77,"Kaum getragen 
Sehr guter Zustand
Unisex",https://www.vinted.fr/items/5953942052-carhartt-mutze-wollmutze-beanie-unisex
Carharrt Mütze,Carhartt,12.0,1,10,5,373,"Neu
Unisex
Lila",https://www.vinted.fr/items/5952533778-carharrt-mutze
Carharrt Mütze,Carhartt,3.0,4,2,4.9,41,Fusseln rasieren und sie sieht aus wie neu,https://www.vinted.fr/items/5955569854-carharrt-mutze
Carhartt Winter hat,Carhartt,5.0,3,3,5,51,Carhartt Winter hat,https://www.vinted.fr/items/5951995134-carhartt-winter-hat
Mütze Carhartt Erwachsene,Carhartt,5.0,3,11,5,292,Super Zustand,https://www.vinted.fr/items/5943517835-mutze-carhartt-erwachsene
Carhartt Mütze babyblau,Carhartt,9.0,3,2,4.9,261,"Huhu,

Verkaufe hier eine hellblaue Carhartt Beanie, unisex fit.",https://www.vinted.fr/items/5956218690-carhartt-mutze-babyblau
braune carhartt mütze,Carhartt,5.0,4,5,5,15,guter zustand,https://www.vinted.fr/items/5945688635-braune-carhartt-mutze
Carhartt Beanie in petrol/türkisgrün,Carhartt,10.0,3,0,5,130,"Selten getragen, daher in top Zustand, Unisex",https://www.vinted.fr/items/5960046550-carhartt-beanie-in-petrolturkisgrun
Carhartt Beanie,Carhartt,5.0,3,1,5,41,"Verkaufe hier eine Carhartt Beanie

Stammen aus einem Haushalt mit 2 Katzen und einem Hund",https://www.vinted.fr/items/5956177601-carhartt-beanie
Mütze Carhartt,Carhartt,5.0,3,2,4.9,37,Gern getragen (daher am etwas weiter) aber ohne Mängel,https://www.vinted.fr/items/5951152558-mutze-carhartt
Beanie Carhartt Einheitsgröße,Carhartt,15.0,2,0,4.9,642,"Neu ohne Etikett 
Grau",https://www.vinted.fr/items/5961379104-beanie-carhartt-einheitsgrosse
Carhatt beanie Grey Grau,Carhartt,10.0,2,1,4.9,17,"- Neu 
- Perfekter Zustand",https://www.vinted.fr/items/5958750555-carhatt-beanie-grey-grau
Carhartt Mütze,Carhartt,9.0,2,3,5,2,Carharrt Mütze zwei mal getragen,https://www.vinted.fr/items/5946645911-carhartt-mutze
Carhartt Mütze,Carhartt,20.0,3,0,4.8,89,"Einmal getragen
Top Zustand 
Orange/ Braun 

#y2k #y2kstyle #unisex",https://www.vinted.fr/items/5961479862-carhartt-mutze
Carhartt Mütze grau,Carhartt,3.0,4,2,5,92,Gut erhalten; normale leichte Fussel durch Gebrauch,https://www.vinted.fr/items/5946492582-carhartt-mutze-grau
Carharrt Mütze,Carhartt,15.0,3,1,5,31,Nur einmal getragen,https://www.vinted.fr/items/5958147899-carharrt-mutze
Carhartt Beanie NEU schwarz Mütze Kopfbedeckung,Carhartt,15.0,1,4,4.9,490,"Carhartt Beanie NEU schwarz Mütze Kopfbedeckung 

Schaut gern in meinen Katalog, es lohnt sich :)",https://www.vinted.fr/items/5945533559-carhartt-beanie-neu-schwarz-mutze-kopfbedeckung
Carhartt Mütze blau unisex,Carhartt,5.0,4,0,5,10,"Gerne getragen 
Eingeitsgröße
Paar Fusseln",https://www.vinted.fr/items/5951403620-carhartt-mutze-blau-unisex
Carhartt Beanie,Carhartt,10.0,2,1,4.9,64,"Moin, biete dir hier Teile meines Kleiderschrankes an. Alle eingestellten Artikel werden guten Gewissens, gewaschen und gut verpackt angeboten. Sollte das Teil Makel oder Fehler aufweisen, so sind diese eindeutig beschrieben und fotografiert. 

Hier angeboten: Originale und unbenutzte Beanie der Marke Carhartt in Braun. Leider ist mir die Mütze etwas zu eng für meinen großen Schädel.",https://www.vinted.fr/items/5963517343-carhartt-beanie
Braune carhartt Mütze,Carhartt,5.0,3,5,4.3,16,Hat ein paar Fusseln aber sonst sehr guter Zustand,https://www.vinted.fr/items/5930775984-braune-carhartt-mutze
Carhartt Beanie Braun onesize,Carhartt,12.0,1,8,4.9,64,"Moin, biete dir hier Teile meines Kleiderschrankes an. Alle eingestellten Artikel werden guten Gewissens, gewaschen und gut verpackt angeboten. Sollte das Teil Makel oder Fehler aufweisen, so sind diese eindeutig beschrieben und fotografiert. 

Hier angeboten: Nie getragene Mütze (Watch Hat) Carhartt in einem schönen Hellbraun.",https://www.vinted.fr/items/5946158607-carhartt-beanie-braun-onesize
Carharrt Beanie,Carhartt,12.0,1,0,5,373,"Neu
Unisex 
Lila
Einheitsgrösse",https://www.vinted.fr/items/5952421710-carharrt-beanie
Carhhartt,Carhartt,15.0,2,0,5,2,Ein Mal getragen,https://www.vinted.fr/items/5952684664-carhhartt
Mütze grau Carhartt,Carhartt,8.0,4,0,5,27,Schön warm,https://www.vinted.fr/items/5943535182-mutze-grau-carhartt
Carhartt Mütze,Carhartt,6.0,3,14,4.9,46,"Sehr schöne braune Carhartt Mütze 
Sehr angenehm zum tragen :)",https://www.vinted.fr/items/5909145752-carhartt-mutze
Carhartt Mütze,Carhartt,6.0,4,0,5,13,"-guter Zustand
-Einheitsgröße",https://www.vinted.fr/items/5937260270-carhartt-mutze
Carhartt Mütze,Carhartt,7.0,3,6,4.9,82,"Hellblau, wie neu",https://www.vinted.fr/items/5914579172-carhartt-mutze
Fleecemütze / Carharrt / schwarz,Carhartt,10.0,1,8,4.9,33,Fleecemütze Carharrt neu schwarz,https://www.vinted.fr/items/5912989247-fleecemutze-carharrt-schwarz
Carhartt Mütze für Erwachsene - One Size - NEU!,Carhartt,14.0,1,0,5,176,No description,https://www.vinted.fr/items/5945279844-carhartt-mutze-fur-erwachsene-one-size-neu
Carharrt / Beani / dunkel blau,Carhartt,10.0,1,13,4.9,33,No description,https://www.vinted.fr/items/5906960153-carharrt-beani-dunkel-blau
Carhartt Mütze,Carhartt,10.0,3,4,4.9,64,No description,https://www.vinted.fr/items/5917948641-carhartt-mutze
Carhartt Mütze original verpackt,Carhartt,13.0,1,4,5,131,"Verkaufe eine original verpackte, ungetragene Mütze von carhartt
Modell stratus hat low
Farbe grau",https://www.vinted.fr/items/5918646613-carhartt-mutze-original-verpackt
Carhartt WIP Beanie,Carhartt,8.0,3,3,5,14,No description,https://www.vinted.fr/items/5919442668-carhartt-wip-beanie
Carhartt Mütze,Carhartt,5.0,2,10,4.8,20,No description,https://www.vinted.fr/items/5880519112-carhartt-mutze
Carhartt Mütze original,Carhartt,10.0,3,4,5,68,No description,https://www.vinted.fr/items/5911914060-carhartt-mutze-original
Carhartt Beanie grau unisex,Carhartt,5.5,4,6,5,43,"Guter Zustand.
Keine Mängel 
One size",https://www.vinted.fr/items/5889838046-carhartt-beanie-grau-unisex
Carhartt Mütze,Carhartt,7.0,3,18,4.9,157,No description,https://www.vinted.fr/items/5856543650-carhartt-mutze
Carhartt Mütze Wintermütze Camouflage,Carhartt,10.0,3,13,5,1068,No description,https://www.vinted.fr/items/5881523167-carhartt-mutze-wintermutze-camouflage
carharrt Mütze,Carhartt,6.0,3,7,5,10,Einmal gewaschen,https://www.vinted.fr/items/5879080949-carharrt-mutze
Carhartt Beanie Mütze Weinrot,Carhartt,5.0,4,24,5,8,No description,https://www.vinted.fr/items/5470928011-carhartt-beanie-mutze-weinrot
Carhartt Beanie,Carhartt,15.0,2,0,5,49,No description,https://www.vinted.fr/items/5931337126-carhartt-beanie
Vintage Carhartt Beanie Olive,Carhartt,15.0,3,11,5,12,No description,https://www.vinted.fr/items/5887018482-vintage-carhartt-beanie-olive
Wollmütze „Carhartt“,Carhartt,6.0,4,16,5,1954,"Graue Wollmütze 
100% Acryl",https://www.vinted.fr/items/5689241310-wollmutze-carhartt
Carhartt Mütze,Carhartt,5.0,3,13,5,41,No description,https://www.vinted.fr/items/4807317088-carhartt-mutze
Carhartt Mütze Khaki Grün Onesize Beanie Strickmütze Unisex,Carhartt,7.0,3,18,5,562,No description,https://www.vinted.fr/items/5826046305-carhartt-mutze-khaki-grun-onesize-beanie-strickmutze-unisex
Carhartt Mütze,Carhartt,4.0,3,3,5,9,No description,https://www.vinted.fr/items/5964904981-carhartt-mutze
Carharrt Mütze beige NEU,Carhartt,8.0,3,14,5,215,"Ungetragene Mütze von Carharrt 
Beige",https://www.vinted.fr/items/5956901686-carharrt-mutze-beige-neu
Black beanis,Carhartt,3.0,4,1,4.7,13,No description,https://www.vinted.fr/items/5964497295-black-beanis
Schöne Mütze,Carhartt,9.0,3,0,4.9,171,No description,https://www.vinted.fr/items/5964940476-schone-mutze
Carhartt Mütze Wollmütze Beanie Unisex,Carhartt,12.0,3,8,No rating,No evaluations,"Kaum getragen 
Sehr guter Zustand
Unisex",https://www.vinted.fr/items/5953942052-carhartt-mutze-wollmutze-beanie-unisex
Carhartt Mütze blau,Carhartt,10.0,3,6,No rating,No evaluations,No description,https://www.vinted.fr/items/5954806032-carhartt-mutze-blau
Schöne Mütze,Carhartt,10.0,3,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5964755190-schone-mutze
Carharrt Mütze,Carhartt,12.0,1,10,No rating,No evaluations,No description,https://www.vinted.fr/items/5952533778-carharrt-mutze
Carharrt Mütze,Carhartt,3.0,4,2,No rating,No evaluations,No description,https://www.vinted.fr/items/5955569854-carharrt-mutze
Carhartt Winter hat,Carhartt,5.0,3,3,No rating,No evaluations,No description,https://www.vinted.fr/items/5951995134-carhartt-winter-hat
Mütze Carhartt Erwachsene,Carhartt,5.0,3,11,No rating,No evaluations,Super Zustand,https://www.vinted.fr/items/5943517835-mutze-carhartt-erwachsene
Carhartt Mütze babyblau,Carhartt,9.0,3,2,No rating,No evaluations,No description,https://www.vinted.fr/items/5956218690-carhartt-mutze-babyblau
braune carhartt mütze,Carhartt,5.0,4,5,No rating,No evaluations,No description,https://www.vinted.fr/items/5945688635-braune-carhartt-mutze
Carhartt Beanie in petrol/türkisgrün,Carhartt,10.0,3,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5960046550-carhartt-beanie-in-petrolturkisgrun
Carhartt Beanie,Carhartt,5.0,3,1,No rating,No evaluations,"Verkaufe hier eine Carhartt Beanie

Stammen aus einem Haushalt mit 2 Katzen und einem Hund",https://www.vinted.fr/items/5956177601-carhartt-beanie
Carhartt Chase Beanie Rot,Carhartt,16.0,3,6,No rating,No evaluations,No description,https://www.vinted.fr/items/5951959305-carhartt-chase-beanie-rot
Mütze Carhartt,Carhartt,5.0,3,2,No rating,No evaluations,No description,https://www.vinted.fr/items/5951152558-mutze-carhartt
Beanie Carhartt Einheitsgröße,Carhartt,15.0,2,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5961379104-beanie-carhartt-einheitsgrosse
Carhatt beanie Grey Grau,Carhartt,10.0,2,1,No rating,No evaluations,No description,https://www.vinted.fr/items/5958750555-carhatt-beanie-grey-grau
Carhartt Mütze,Carhartt,9.0,2,3,No rating,No evaluations,No description,https://www.vinted.fr/items/5946645911-carhartt-mutze
Carhartt Mütze,Carhartt,20.0,3,0,No rating,No evaluations,No description,https://www.vinted.fr/items/5961479862-carhartt-mutze
Carhartt Mütze grau,Carhartt,3.0,4,2,5,92,Gut erhalten; normale leichte Fussel durch Gebrauch,https://www.vinted.fr/items/5946492582-carhartt-mutze-grau
Carharrt Mütze,Carhartt,15.0,3,1,5,31,No description,https://www.vinted.fr/items/5958147899-carharrt-mutze
Carhartt Beanie NEU schwarz Mütze Kopfbedeckung,Carhartt,15.0,1,4,4.9,490,No description,https://www.vinted.fr/items/5945533559-carhartt-beanie-neu-schwarz-mutze-kopfbedeckung
Carhartt Beanie Schwarz,Carhartt,9.0,3,8,4.9,121,No description,https://www.vinted.fr/items/5934207066-carhartt-beanie-schwarz
Carhartt Mütze blau unisex,Carhartt,5.0,4,0,5,10,No description,https://www.vinted.fr/items/5951403620-carhartt-mutze-blau-unisex
Carhartt Beanie,Carhartt,10.0,2,1,4.9,64,No description,https://www.vinted.fr/items/5963517343-carhartt-beanie
Braune carhartt Mütze,Carhartt,5.0,3,5,4.3,16,No description,https://www.vinted.fr/items/5930775984-braune-carhartt-mutze
Carhartt Beanie Braun onesize,Carhartt,12.0,1,8,4.9,64,No description,https://www.vinted.fr/items/5946158607-carhartt-beanie-braun-onesize
Carharrt Beanie,Carhartt,12.0,1,0,5,373,No description,https://www.vinted.fr/items/5952421710-carharrt-beanie
Carhhartt,Carhartt,15.0,2,0,5,2,No description,https://www.vinted.fr/items/5952684664-carhhartt
Mütze grau Carhartt,Carhartt,8.0,4,0,5,27,No description,https://www.vinted.fr/items/5943535182-mutze-grau-carhartt
Carharrr Beanie,Carhartt,10.0,3,0,5,136,No description,https://www.vinted.fr/items/5944173558-carharrr-beanie
Carhartt Mütze,Carhartt,6.0,3,14,4.9,46,No description,https://www.vinted.fr/items/5909145752-carhartt-mutze
Mütze,Carhartt,5.0,3,0,5,6,No description,https://www.vinted.fr/items/5936848272-mutze
Carhartt Mütze,Carhartt,6.0,4,0,5,13,No description,https://www.vinted.fr/items/5937260270-carhartt-mutze
schwarze Mütze,Carhartt,6.0,3,3,5,21,No description,https://www.vinted.fr/items/5920832466-schwarze-mutze
Carhartt Mütze,Carhartt,7.0,3,6,4.9,82,No description,https://www.vinted.fr/items/5914579172-carhartt-mutze
Fleecemütze / Carharrt / schwarz,Carhartt,10.0,1,8,4.9,33,No description,https://www.vinted.fr/items/5912989247-fleecemutze-carharrt-schwarz
Carhartt Mütze für Erwachsene - One Size - NEU!,Carhartt,14.0,1,0,5,176,No description,https://www.vinted.fr/items/5945279844-carhartt-mutze-fur-erwachsene-one-size-neu
Carharrt / Beani / dunkel blau,Carhartt,10.0,1,13,4.9,33,No description,https://www.vinted.fr/items/5906960153-carharrt-beani-dunkel-blau
Carhartt Mütze,Carhartt,10.0,3,4,4.9,64,No description,https://www.vinted.fr/items/5917948641-carhartt-mutze
Carhartt Mütze original verpackt,Carhartt,13.0,1,4,5,131,No description,https://www.vinted.fr/items/5918646613-carhartt-mutze-original-verpackt
Carhartt WIP Beanie,Carhartt,8.0,3,3,5,14,No description,https://www.vinted.fr/items/5919442668-carhartt-wip-beanie
Carhartt Chase Beanie schwarz,Carhartt,15.0,3,4,4.9,180,No description,https://www.vinted.fr/items/5919597964-carhartt-chase-beanie-schwarz
Carhartt Mütze,Carhartt,5.0,2,10,4.8,20,No description,https://www.vinted.fr/items/5880519112-carhartt-mutze
Carhartt WIP - Acrylic Watch Dark Navy Heather - Beanie,Carhartt,17.0,1,0,5,340,No description,https://www.vinted.fr/items/5938568923-carhartt-wip-acrylic-watch-dark-navy-heather-beanie
