Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
The North Face Mütze,The North Face,5.0,3,3,5,23,Cond. 9/10,https://www.vinted.fr/items/6034561535-the-north-face-mutze
The North Face Beanie,The North Face,10.0,3,2,4.9,187,"Top Zustand 

Bei Fragen gerne melden☺️",https://www.vinted.fr/items/6033116616-the-north-face-beanie
The North Face Mütze,The North Face,15.0,3,0,4.8,49,"Selten getragen
Original Etikett innen vorhanden",https://www.vinted.fr/items/6036944019-the-north-face-mutze
The North Face Beanie Mütze grün,The North Face,17.0,2,3,5,713,ungetragen,https://www.vinted.fr/items/6030095971-the-north-face-beanie-mutze-grun
The North Face Mütze unisex,The North Face,15.0,1,9,4.9,163,Einheitsgröße,https://www.vinted.fr/items/6020260582-the-north-face-mutze-unisex
The North Face beanie,The North Face,5.0,4,1,4.3,11,"Versand in 24h/48h 📦
Bei Intersse oder Fragen gerne melden!",https://www.vinted.fr/items/6027013104-the-north-face-beanie
The North Face Schwarz/Grau,The North Face,5.0,3,0,5,2,"Selten getragen 💯
Frisch gewaschen 🧼
Guter fit 💪 
Schöne Textur👕
Angenehme, weiche Innenseite😁
100% original 💯
Größe S-M📏
Schnelle Lieferung 🚚",https://www.vinted.fr/items/6027370700-the-north-face-schwarzgrau
The north face Mütze,The North Face,10.0,2,0,3,2,"Neu nur paar Mall getragen 
Ist one size
Verkaufe das Stück,weil es mir zu klein ist 
Keine Rücknahme oder Garantie",https://www.vinted.fr/items/6028067726-the-north-face-mutze
The North Face TNF Beanie Mütze,The North Face,20.0,2,1,4.7,78,"Nie getragen. 
Bei Interesse bitte melden.


#thenorthface #beanie #thenorthfacebeanie #Mütze #tnf #tnfbeanie #tnfmütze #thenorthfacemütze",https://www.vinted.fr/items/6027854496-the-north-face-tnf-beanie-mutze
"The North Face Mütze, Unisex, Schwarz, One Size",The North Face,5.0,4,1,5,1,"Hersteller: The North Face
Artikel: Mütze
Farbe: schwarz

3-4x getragen, guter Zustand",https://www.vinted.fr/items/6020155902-the-north-face-mutze-unisex-schwarz-one-size
