Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
Cappellino militare con visiera camouflage,Carhartt,10.0,Good,5,4.8,82,"Cappellino militare con visiera Carhartt
Camouflage in ripstop
Regolazione a strap",https://www.vinted.fr/items/5770235952-cappellino-militare-con-visiera-camouflage
Casquette Carhartt Madison Logo Cap beige,Carhartt,22.9,Good,4,4.9,1199,"Je ne fais pas de photos portées ❌    

Casquette Carhartt Madison Logo Cap beige 

✅ Bon état  

📦 Frais de port ajusté au plus bas  

📩 Pour les lots envoyez moi un message  

💨 Expédition rapide en 24/48h  Pour tout renseignement, n’hésitez pas à me contacter🙂  

#y2k #carhartt #carharttwip",https://www.vinted.fr/items/5769471839-casquette-carhartt-madison-logo-cap-beige
Casquette Carhartt,Carhartt,15.0,Good,26,No rating,No evaluations,Casquette Carhartt,https://www.vinted.fr/items/5766561906-casquette-carhartt
Casquette Carhartt,Carhartt,30.0,Good,4,3.7,59,"Casquette en velours bordeaux en bon état. 

Taille Unique 

Remise en main propre à Paris/Boulogne possible",https://www.vinted.fr/items/5762330613-casquette-carhartt
Berretto Carhartt grigio,Carhartt,4.0,Good,7,5,9,Berretto Carhartt grigio. Unisex,https://www.vinted.fr/items/5759207132-berretto-carhartt-grigio
Carhatt Cap,Carhartt,15.0,Good,3,4.9,81,"Cap/ Basecap von Carhatt
Hellblau",https://www.vinted.fr/items/5758694759-carhatt-cap
Gorra Carhartt,Carhartt,14.95,Good,24,No rating,No evaluations,"* Estado 8/10 ✅️

* Color negro",https://www.vinted.fr/items/5754918541-gorra-carhartt
Carhartt Blaue Corduroy Cap orangene Schrift,Carhartt,20.0,Good,22,5,11,"Carhartt Blaue Cap
Condition: 8/10
Größe: One size
Preis verhandelbar",https://www.vinted.fr/items/5755084995-carhartt-blaue-corduroy-cap-orangene-schrift
Cappellino imbottito Carhartt,Carhartt,10.0,Good,4,4.7,13,Bellissimo cappellino vintage dì Carhartt con imbottitura invernale . Taglia unica .,https://www.vinted.fr/items/5743075697-cappellino-imbottito-carhartt
Gorra carhartt a cuadros. Ajustable,Carhartt,4.0,Good,18,5,4,Gorra carhartt a cuadros. Ajustable con velcro. Visera plana. Corte militar.,https://www.vinted.fr/items/5734002616-gorra-carhartt-a-cuadros-ajustable
Carhartt Cap,Carhartt,15.0,Good,6,4.9,30,Schöne Cap,https://www.vinted.fr/items/5731440329-carhartt-cap
Chapéu vermelho Carhartt,Carhartt,10.0,Good,3,5,31,Com algumas marcas de uso,https://www.vinted.fr/items/5721591825-chapeu-vermelho-carhartt
Casquette carhartt,Carhartt,20.0,Good,47,4.5,69,"Couleur crème 
Un peu taché sur la visière ( terre battue)",https://www.vinted.fr/items/5716068072-casquette-carhartt
dunkel Blaue Carhartt Mütze,Carhartt,6.0,Good,24,5,1,"sehr selten getragen
Ist etwas dünkler und nicht so leuchtend wie am foto",https://www.vinted.fr/items/5714817807-dunkel-blaue-carhartt-mutze
Casquette homme carhartt,Carhartt,10.0,Good,8,4.9,111,Bon état,https://www.vinted.fr/items/5712496522-casquette-homme-carhartt
Casquette Carhartt beige en velour,Carhartt,20.0,Good,17,4.8,134,"Casquette Carhartt en velour.
Couleur beige, taille unique.
Unisexe.

La casquette n'a aucun défaut de mécanismes, mais est tachée.

N'hésitez pas à me contacter si besoin :)

#casquettecarhartt #carhartt #hat #hatcarhartt #carharttcasquette #velour #casquettevelour #casquettebeige #casquettevelourbeige #casquettebeigevelour #casquettevelourcarhartt #casquettecarharttvelour #casquettevelourcotele",https://www.vinted.fr/items/5711738929-casquette-carhartt-beige-en-velour
Lot 2 casquettes,Carhartt,20.0,Good,3,4.9,82,"Lot 2 casquettes 
1 Carhartt blanche porté qlq fois 
1 armor under bleu porté qlq fois",https://www.vinted.fr/items/5710426960-lot-2-casquettes
Berretto Carhartt rosso,Carhartt,10.0,Good,5,5,107,Buone condizioni,https://www.vinted.fr/items/5709167637-berretto-carhartt-rosso
Casquette carhartt truck vintage trucker cap grise grey,Carhartt,20.0,Good,28,4.9,485,"Bon état général (vintage article)






















#casquettecarhartt #casquettecarharttunisexe #casquettecarharttvintage #casquettevintage #casquettetrucker #truckcap #truckercarhartt #carhartttruckercap #carharttcasquette",https://www.vinted.fr/items/5702515995-casquette-carhartt-truck-vintage-trucker-cap-grise-grey
casquette carhartt,Carhartt,25.0,Good,5,5,41,bon etat,https://www.vinted.fr/items/5699659467-casquette-carhartt
Carhartt pet bruin,Carhartt,16.5,Good,33,4.6,38,"Carhartt pet bruin
Unisex",https://www.vinted.fr/items/5695481973-carhartt-pet-bruin
Casquette Carhartt,Carhartt,10.0,Good,4,5,12,Un peu usée,https://www.vinted.fr/items/5694425719-casquette-carhartt
Cappello Carharrt,Carhartt,15.0,Good,8,4.3,27,Calleppo Nero Carharrt,https://www.vinted.fr/items/5690119518-cappello-carharrt
Casquette carhartt,Carhartt,10.0,Good,15,4.8,266,"Casquette carhartt original, en bon état général mis à part le plastique abîmé !

#carharttwip #carharttvintage #carhartt",https://www.vinted.fr/items/5689228889-casquette-carhartt
Carh artt. Hat. Classic.,Carhartt,23.0,Good,4,No rating,No evaluations,Brand new rocker hat.,https://www.vinted.fr/items/5687626963-carh-artt-hat-classic
Casquette Carhartt Rose,Carhartt,20.0,Good,3,4.6,17,"🛍️| Casquette Carhartt Rose 

✅|  Bon état ( Trace blanche sur le devant, se voit peu à lumière naturelle ) 

📏| Taille Unique 

🚚| Colis bien emballé, expédié sous 24/48h 

💬| Pour toutes questions ou informations, n'hésitez pas à m'envoyer un message.

#casquette #casquetterose #casquettecarhartt #carhartt #accessoiremode #modeurbaine #stylecasual #lookdécontracté #casquettestyle #accessoirefemme #accessoirehomme #casquettecolorée #tenuetrendy #casquettemoderne #modefemme #modehomme #fashionminimaliste #carharttstyle #casquettetendance #vêtementsstreetwear #rosaekappe #carharttkappe #casualstyle #modetrends #lässigemode #kopfbedeckung #minimalistischemode #streetwearlook #stylischeaccessoires #gorrarosa #carharttgorra #modaurbana #accesoriosmoda #gorraunisex #ropacasual #modamoderna #estilominimalista #carharttestilo #berrettorosabasico #modaurbana #stileminimalista #accessoricasual #modaunisex #abbigliamentomoderno #chapeucasual #bonérosa #carharttboné #modaurbana #estilocasual #modaminimalista #acessórioestiloso #modeurbain #minimalistischestil #rosepet #streetwearmode #modieuzetoneel #trendyhoed #carharttfashion #modernstreetwear #fashionurban #casualhat #minimalstyle #trendystyle #streetwearaccessory",https://www.vinted.fr/items/5674196806-casquette-carhartt-rose
Casquette carhartt,Carhartt,20.0,Good,5,5,43,"Peu portée,",https://www.vinted.fr/items/5673128543-casquette-carhartt
Casquette hat Carhartt trucker camel,Carhartt,23.0,Good,20,4.9,1009,"Casquette Carhartt workwear déjà porté aucune tâche aucun défaut spécial mais déjà porté. 

Casquette ajustable",https://www.vinted.fr/items/5670727101-casquette-hat-carhartt-trucker-camel
Casquette Carhartt,Carhartt,25.0,Good,8,No rating,No evaluations,"Porté un été légèrement décoloré d'ou la vente
Taille unique
Bleu marine
Carhartt
Velours",https://www.vinted.fr/items/5665945822-casquette-carhartt
Cappello carhartt,Carhartt,20.0,Good,11,4.9,183,"Cappello carhartt regolabile vintage unisex
Buone condizioni con una macchia
Ottima vestibilitá
Colore senape",https://www.vinted.fr/items/5662633111-cappello-carhartt
Casquette carhartt bleu claire,Carhartt,28.0,Good,5,4.6,28,Porté plusieurs fois cet été,https://www.vinted.fr/items/5659782421-casquette-carhartt-bleu-claire
Mütze Carhartt,Carhartt,5.0,Good,10,4.9,58,Mütze Carhartt,https://www.vinted.fr/items/5646975768-mutze-carhartt
Carhartt Purple Harlem Cap,Carhartt,24.99,Good,14,No rating,No evaluations,"•Purple corduroy baseball cap
•Good condition 
•Some small orange highlighter marks (almost not visible)
•Open for offers",https://www.vinted.fr/items/5645166120-carhartt-purple-harlem-cap
Carhartt Wintermütze,Carhartt,9.0,Good,9,5,51,"Super Qualität, gern getragen",https://www.vinted.fr/items/5642537243-carhartt-wintermutze
Berretto Carhartt,Carhartt,8.0,Good,11,5,147,"Berretto Carhartt elasticizzato color cachi
Misure come in foto",https://www.vinted.fr/items/5629537545-berretto-carhartt
Cappello Snapback Carhartt Starter Black Label Raro OSFM Velluto a coste Nero regolabile,Carhartt,32.0,Good,4,4.9,34,"Usato ma ancora in ottime condizioni.

Oggetto raro e vintage.

100% cotone.

Imballaggio sicuro e protetto per evitare ammaccature.",https://www.vinted.fr/items/5620692146-cappello-snapback-carhartt-starter-black-label-raro-osfm-velluto-a-coste-nero-regolabile
Berretto,Carhartt,12.0,Good,5,4.9,30,Berretto carhartt vendo per inutilizzo,https://www.vinted.fr/items/5616456198-berretto
Casquette Carharrt,Carhartt,10.0,Good,7,5,14,"Casquette Carharrt Night Starter
Visière légèrement délavé (voir photo) mais très bon état général.",https://www.vinted.fr/items/5611382793-casquette-carharrt
Gorra carhartt,Carhartt,15.0,Good,3,5,10,"Color blanco
Usado con algunas pequeñas manchas que apenas se aprecian,se ve en las fotos.
Talla única",https://www.vinted.fr/items/5611167772-gorra-carhartt
Casquette Carhartt,Carhartt,16.0,Good,4,4.7,72,"Casquette Carhartt
Bleu ciel 
Bon état",https://www.vinted.fr/items/5606421365-casquette-carhartt
Carhartt Cap Einheitsgröße,Carhartt,20.0,Good,6,5,22,"Guter Zustand, hat eine verblichene Stelle (Streifen), siehe Bild.",https://www.vinted.fr/items/5601702633-carhartt-cap-einheitsgrosse
Carhartt,Carhartt,10.0,Good,3,5,81,"Capello unisex Carhartt, usato ma in buone condizioni, colore nero.",https://www.vinted.fr/items/5595624062-carhartt
casquette carhartt starter,Carhartt,15.0,Good,11,4.7,284,porté manque deux point de reglage,https://www.vinted.fr/items/5585503806-casquette-carhartt-starter
Casquette Carhartt,Carhartt,15.0,Good,9,4.6,18,"Casquette Carhartt beige/crème
Un peu taché (voir dernières photos)",https://www.vinted.fr/items/5585192229-casquette-carhartt
Casquette carhartt,Carhartt,11.0,Good,5,4.8,93,Casquette carhartt,https://www.vinted.fr/items/5563391642-casquette-carhartt
Cappello Carhartt,Carhartt,15.0,Good,3,4.9,159,"Cappello Carhartt 
Usato ma in ottime condizioni
Taglia unica
Presenti leggere macchioline nella parte interna.",https://www.vinted.fr/items/5560345201-cappello-carhartt
Gorra Carhartt,Carhartt,10.0,Good,8,4,153,Gorra carhartt comprada en Chicago. Buen estado,https://www.vinted.fr/items/5555714095-gorra-carhartt
cappello grigio carhartt,Carhartt,6.5,Good,6,5,10,buone condizioni,https://www.vinted.fr/items/5552223107-cappello-grigio-carhartt
Cappellino militare con visiera camouflage,Carhartt,10.0,Good,5,4.8,82,"Cappellino militare con visiera Carhartt
Camouflage in ripstop
Regolazione a strap",https://www.vinted.fr/items/5770235952-cappellino-militare-con-visiera-camouflage
Casquette Carhartt Madison Logo Cap beige,Carhartt,22.9,Good,4,4.9,1199,"Je ne fais pas de photos portées ❌    

Casquette Carhartt Madison Logo Cap beige 

✅ Bon état  

📦 Frais de port ajusté au plus bas  

📩 Pour les lots envoyez moi un message  

💨 Expédition rapide en 24/48h  Pour tout renseignement, n’hésitez pas à me contacter🙂  

#y2k #carhartt #carharttwip",https://www.vinted.fr/items/5769471839-casquette-carhartt-madison-logo-cap-beige
Casquette Carhartt,Carhartt,15.0,Good,26,No rating,No evaluations,Casquette Carhartt,https://www.vinted.fr/items/5766561906-casquette-carhartt
Casquette Carhartt,Carhartt,30.0,Good,4,3.7,59,"Casquette en velours bordeaux en bon état. 

Taille Unique 

Remise en main propre à Paris/Boulogne possible",https://www.vinted.fr/items/5762330613-casquette-carhartt
Berretto Carhartt grigio,Carhartt,4.0,Good,7,5,9,Berretto Carhartt grigio. Unisex,https://www.vinted.fr/items/5759207132-berretto-carhartt-grigio
Carhatt Cap,Carhartt,15.0,Good,3,4.9,81,"Cap/ Basecap von Carhatt
Hellblau",https://www.vinted.fr/items/5758694759-carhatt-cap
Gorra Carhartt,Carhartt,14.95,Good,24,No rating,No evaluations,"* Estado 8/10 ✅️

* Color negro",https://www.vinted.fr/items/5754918541-gorra-carhartt
Carhartt Blaue Corduroy Cap orangene Schrift,Carhartt,20.0,Good,22,5,11,"Carhartt Blaue Cap
Condition: 8/10
Größe: One size
Preis verhandelbar",https://www.vinted.fr/items/5755084995-carhartt-blaue-corduroy-cap-orangene-schrift
Cappellino imbottito Carhartt,Carhartt,10.0,Good,4,4.7,13,Bellissimo cappellino vintage dì Carhartt con imbottitura invernale . Taglia unica .,https://www.vinted.fr/items/5743075697-cappellino-imbottito-carhartt
Gorra carhartt a cuadros. Ajustable,Carhartt,4.0,Good,18,5,4,Gorra carhartt a cuadros. Ajustable con velcro. Visera plana. Corte militar.,https://www.vinted.fr/items/5734002616-gorra-carhartt-a-cuadros-ajustable
Carhartt Cap,Carhartt,15.0,Good,6,4.9,30,Schöne Cap,https://www.vinted.fr/items/5731440329-carhartt-cap
Chapéu vermelho Carhartt,Carhartt,10.0,Good,3,5,31,Com algumas marcas de uso,https://www.vinted.fr/items/5721591825-chapeu-vermelho-carhartt
Casquette carhartt,Carhartt,20.0,Good,47,4.5,69,"Couleur crème 
Un peu taché sur la visière ( terre battue)",https://www.vinted.fr/items/5716068072-casquette-carhartt
dunkel Blaue Carhartt Mütze,Carhartt,6.0,Good,24,5,1,"sehr selten getragen
Ist etwas dünkler und nicht so leuchtend wie am foto",https://www.vinted.fr/items/5714817807-dunkel-blaue-carhartt-mutze
Casquette homme carhartt,Carhartt,10.0,Good,8,4.9,111,Bon état,https://www.vinted.fr/items/5712496522-casquette-homme-carhartt
Casquette Carhartt beige en velour,Carhartt,20.0,Good,17,4.8,134,"Casquette Carhartt en velour.
Couleur beige, taille unique.
Unisexe.

La casquette n'a aucun défaut de mécanismes, mais est tachée.

N'hésitez pas à me contacter si besoin :)

#casquettecarhartt #carhartt #hat #hatcarhartt #carharttcasquette #velour #casquettevelour #casquettebeige #casquettevelourbeige #casquettebeigevelour #casquettevelourcarhartt #casquettecarharttvelour #casquettevelourcotele",https://www.vinted.fr/items/5711738929-casquette-carhartt-beige-en-velour
Lot 2 casquettes,Carhartt,20.0,Good,3,4.9,82,"Lot 2 casquettes 
1 Carhartt blanche porté qlq fois 
1 armor under bleu porté qlq fois",https://www.vinted.fr/items/5710426960-lot-2-casquettes
Berretto Carhartt rosso,Carhartt,10.0,Good,5,5,107,Buone condizioni,https://www.vinted.fr/items/5709167637-berretto-carhartt-rosso
Casquette carhartt truck vintage trucker cap grise grey,Carhartt,20.0,Good,28,4.9,485,"Bon état général (vintage article)






















#casquettecarhartt #casquettecarharttunisexe #casquettecarharttvintage #casquettevintage #casquettetrucker #truckcap #truckercarhartt #carhartttruckercap #carharttcasquette",https://www.vinted.fr/items/5702515995-casquette-carhartt-truck-vintage-trucker-cap-grise-grey
casquette carhartt,Carhartt,25.0,Good,5,5,41,bon etat,https://www.vinted.fr/items/5699659467-casquette-carhartt
Carhartt pet bruin,Carhartt,16.5,Good,33,4.6,38,"Carhartt pet bruin
Unisex",https://www.vinted.fr/items/5695481973-carhartt-pet-bruin
Casquette Carhartt,Carhartt,10.0,Good,4,5,12,Un peu usée,https://www.vinted.fr/items/5694425719-casquette-carhartt
Cappello Carharrt,Carhartt,15.0,Good,8,4.3,27,Calleppo Nero Carharrt,https://www.vinted.fr/items/5690119518-cappello-carharrt
Casquette carhartt,Carhartt,10.0,Good,15,4.8,266,"Casquette carhartt original, en bon état général mis à part le plastique abîmé !

#carharttwip #carharttvintage #carhartt",https://www.vinted.fr/items/5689228889-casquette-carhartt
Carh artt. Hat. Classic.,Carhartt,23.0,Good,4,No rating,No evaluations,Brand new rocker hat.,https://www.vinted.fr/items/5687626963-carh-artt-hat-classic
