Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
Blaue carhartt cap,Carhartt,10.0,4,17,5,2,Ein wenig getragen mir einem Fleck aber sonst gut,https://www.vinted.fr/items/6025950689-blaue-carhartt-cap,casquettes
Carhartt Cap,Carhartt,15.0,3,22,5,3,Genutzt aber in guten Zustand,https://www.vinted.fr/items/6026608275-carhartt-cap,casquettes
Carharrt Cap,Carhartt,15.0,3,5,5,8,"Nie getragen, sehr guter Zustand",https://www.vinted.fr/items/6029131970-carharrt-cap,casquettes
Mütze von Carhartt,Carhartt,6.0,4,4,5,358,"Dunkelgrau-blaue Mütze von Carhartt.
Etwas Peeling, ansonsten keine Löcher oder Flecken.

One Size.

Bei Fragen gerne melden.
Versand ist bei Versandkostenübernahme gerne möglich.
Keine Garantie und Rücknahme.",https://www.vinted.fr/items/6026689737-mutze-von-carhartt,casquettes
Carhartt Mütze,Carhartt,15.0,2,5,5,3,Nie getragen!,https://www.vinted.fr/items/6024965021-carhartt-mutze,casquettes
schwarze Carhartt Mütze,Carhartt,8.0,3,2,5,4,"Selten getragen, in super Zustand",https://www.vinted.fr/items/6031582621-schwarze-carhartt-mutze,casquettes
"Carhartt Mütze in Pastell lila, ungetragen",Carhartt,15.0,1,3,No rating,No evaluations,"Nie getragen, mit Etikett 
Schöne Farbe für den Frühling",https://www.vinted.fr/items/6024095143-carhartt-mutze-in-pastell-lila-ungetragen,casquettes
carhartt mütze,Carhartt,10.0,2,4,5,2,"dunkelgrüne carhartt mütze 
1 mal getragen wie neu 
bei fragen gerne melden🥰",https://www.vinted.fr/items/6023288420-carhartt-mutze,casquettes
Carhartt Snapback Cap,Carhartt,17.0,3,1,5,1,"Selten getragen, lag die letzten Monate nur im Schrank.",https://www.vinted.fr/items/6030898561-carhartt-snapback-cap,casquettes
Carhartt Mütze Schwarz,Carhartt,4.0,3,0,5,13,Carhartt Mütze Schwarz,https://www.vinted.fr/items/6025771398-carhartt-mutze-schwarz,casquettes
Carhartt Cap (y2k style),Carhartt,30.0,2,13,4.9,39,"Zustand:10/10

Tags:

#vintage #y2k #vintagestyle #y2kstyle#usavintage #usa",https://www.vinted.fr/items/6022014948-carhartt-cap-y2k-style,casquettes
Bommel Mütze,Carhartt,10.0,3,0,4.9,54,"Schwarze Bommelmütze von Carhartt, kaum getragen",https://www.vinted.fr/items/6025239968-bommel-mutze,casquettes
Carhartt Cap,Carhartt,30.0,3,32,4.9,102,sehr guter Zustand,https://www.vinted.fr/items/6016526983-carhartt-cap,casquettes
cord carhartt cap grün,Carhartt,25.0,3,27,4.7,123,top zustand,https://www.vinted.fr/items/6015376098-cord-carhartt-cap-grun,casquettes
Carhartt WIP Cap arcade / white Unisex,Carhartt,15.0,3,24,5,391,"Carhartt WIP Cap in der Farbe arcade / white
Unisex
1x getragen, wie neu 
Onesize",https://www.vinted.fr/items/6007761831-carhartt-wip-cap-arcade-white-unisex,casquettes
Carhartt,Carhartt,30.0,3,20,No rating,No evaluations,"Original Carhart-Kappe, guter Zustand

Fragen schreiben. Zahlung nur über PayPal!!",https://www.vinted.fr/items/6010715346-carhartt,casquettes
Carhartt Kappe,Carhartt,25.0,1,13,5,15,"Nagelneu und ungetragen Abholung in Berlin Wedding und Versand möglich
Bezahlung
Vinted System
Paypal
Banküberweisung
Bar bei Abholung",https://www.vinted.fr/items/6008500076-carhartt-kappe,casquettes
Carhartt Cap • Odessa • Mütze • Terracotta,Carhartt,13.0,2,17,5,36,"Hi, Verkaufe diese Cap von Carhartt in der Farbe ""Terracotta"".
Sie wurde vll zwei Mal getragen.
NP waren 30€
 https://www.otto.de/p/carhartt-baseball-cap-carhartt -unisex-erwachsene-cap-odessa-CSO09MO9U/#ech= 29037164&variationld=SOZ7OOBCM3WA&article= SOZ7OOBC&assortment=87",https://www.vinted.fr/items/5995088080-carhartt-cap-odessa-mutze-terracotta,casquettes
Carhartt Mütze,Carhartt,7.0,3,2,5,683,Ein paarmal getragene Mütze.,https://www.vinted.fr/items/6000209176-carhartt-mutze,casquettes
"Carhartt, Mütze, Khaki",Carhartt,8.0,3,12,4.8,204,Selten getragen,https://www.vinted.fr/items/5982032971-carhartt-mutze-khaki,casquettes
