Title,Brand,Type,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,URL
Pet Nike,Nike,5.0,3,21,5,1,https://www.vinted.fr/items/6051696682-pet-nike
Gorra Nike negra,Nike,5.0,3,8,4.9,137,https://www.vinted.fr/items/6054107351-gorra-nike-negra
Nike pet,Nike,7.0,3,13,4.9,10,https://www.vinted.fr/items/6051561707-nike-pet
Nike beige pet,Nike,5.0,3,5,4.3,24,https://www.vinted.fr/items/6054400872-nike-beige-pet
Nike Cap Kappe rosa,Nike,5.0,4,12,4.7,111,https://www.vinted.fr/items/6052674857-nike-cap-kappe-rosa
Casquette blanche Nike,Nike,3.0,4,6,4.6,327,https://www.vinted.fr/items/6051746622-casquette-blanche-nike
Gorra Nike,Nike,8.0,2,7,3.8,27,https://www.vinted.fr/items/6054049184-gorra-nike
Casquette,Nike,1.0,4,13,4.7,161,https://www.vinted.fr/items/6053826097-casquette
"Gorra Nike golf,apenas uso",Nike,6.0,3,8,4.9,287,https://www.vinted.fr/items/6051951266-gorra-nike-golfapenas-uso
Casquette Nike,Nike,4.5,2,41,4.3,18,https://www.vinted.fr/items/6049910099-casquette-nike
Cappello Nike Barcellona,Nike,4.0,3,13,5,17,https://www.vinted.fr/items/6049778702-cappello-nike-barcellona
Gorra nike,Nike,3.0,3,4,4,1,https://www.vinted.fr/items/6053839527-gorra-nike
rote Nike Cap Retro,Nike,8.0,3,48,5,225,https://www.vinted.fr/items/6049687263-rote-nike-cap-retro
Casquette Nike,Nike,10.0,1,14,4.8,80,https://www.vinted.fr/items/6050605024-casquette-nike
Casquette,Nike,10.0,2,15,4.5,43,https://www.vinted.fr/items/6050630926-casquette
Casquette Nike,Nike,5.0,4,11,4.3,101,https://www.vinted.fr/items/6049651662-casquette-nike
"Casquette sport Nike - légère, aérée, blanche",Nike,8.0,2,12,5,49,https://www.vinted.fr/items/6053823538-casquette-sport-nike-legere-aeree-blanche
Casquette Nike rouge,Nike,3.0,4,3,4.6,25,https://www.vinted.fr/items/6050697669-casquette-nike-rouge
Capello con visiera Nike,Nike,4.0,4,4,No rating,No evaluations,https://www.vinted.fr/items/6054306834-capello-con-visiera-nike
Casquette Nike,Nike,10.0,3,6,No rating,No evaluations,https://www.vinted.fr/items/6054172124-casquette-nike
Casquette Nike bleu,Nike,6.0,4,3,5,18,https://www.vinted.fr/items/6054901957-casquette-nike-bleu
Boné Nike,Nike,4.0,3,12,5,18,https://www.vinted.fr/items/6048812786-bone-nike
Nike cap,Nike,5.0,3,3,4.8,62,https://www.vinted.fr/items/6051067206-nike-cap
Casquette Nike,Nike,5.0,3,23,No rating,No evaluations,https://www.vinted.fr/items/6047075054-casquette-nike
berretto nero nike,Nike,5.0,3,3,4.4,5,https://www.vinted.fr/items/6051245908-berretto-nero-nike
Cappellino Nike One size,Nike,4.0,2,22,4.9,334,https://www.vinted.fr/items/6047447577-cappellino-nike-one-size
Chapéu vintage nike,Nike,7.0,Satisfactory,35,5,3,https://www.vinted.fr/items/6047393295-chapeu-vintage-nike
Gorra nike,Nike,3.0,4,13,4.8,49,https://www.vinted.fr/items/6046211954-gorra-nike
Nice club cap new,Nike,15.0,1,7,3.5,63,https://www.vinted.fr/items/6052462648-nice-club-cap-new
Nike pet,Nike,10.0,2,5,4.6,18,https://www.vinted.fr/items/6052399680-nike-pet
Casquette nike,Nike,10.0,1,11,No rating,No evaluations,https://www.vinted.fr/items/6050196249-casquette-nike
Cappello Nike,Nike,3.5,3,11,5,35,https://www.vinted.fr/items/6046477975-cappello-nike
Casquette Nike,Nike,10.0,3,5,4.9,136,https://www.vinted.fr/items/6052153740-casquette-nike
Casquette nike noir,Nike,7.0,3,3,4.9,32,https://www.vinted.fr/items/6051636335-casquette-nike-noir
Cap Nike golf per TW,Nike,9.0,3,3,5,11,https://www.vinted.fr/items/6051733148-cap-nike-golf-per-tw
zwarte pet van nike,Nike,2.0,3,3,1,1,https://www.vinted.fr/items/6050074818-zwarte-pet-van-nike
Nike Cap,Nike,8.5,3,3,4.8,6,https://www.vinted.fr/items/6051203442-nike-cap
Casquette Nike noir,Nike,8.0,2,2,4.5,8,https://www.vinted.fr/items/6055158243-casquette-nike-noir
Nike club cap new,Nike,14.0,2,5,3.5,63,https://www.vinted.fr/items/6052473393-nike-club-cap-new
Nike cap,Nike,3.0,4,6,4.9,28,https://www.vinted.fr/items/6047441134-nike-cap
capellino nike limited editions,Nike,1.0,3,7,5,1,https://www.vinted.fr/items/6046617537-capellino-nike-limited-editions
Gorra Nike,Nike,8.5,1,2,5,221,https://www.vinted.fr/items/6055619540-gorra-nike
Cappello Nike italia anni 90.,Nike,14.5,3,3,4.9,275,https://www.vinted.fr/items/6053745097-cappello-nike-italia-anni-90
cappello vintage nike,Nike,10.0,2,24,4.4,7,https://www.vinted.fr/items/6047748642-cappello-vintage-nike
Nike rose pet,Nike,9.95,3,4,No rating,No evaluations,https://www.vinted.fr/items/6051791049-nike-rose-pet
Casquette Nike,Nike,10.0,1,3,No rating,No evaluations,https://www.vinted.fr/items/6052879370-casquette-nike
Casquette Nike,Nike,10.0,1,3,No rating,No evaluations,https://www.vinted.fr/items/6052867992-casquette-nike
Casquette Nike adultes neuf avec étiquette,Nike,14.0,1,5,No rating,No evaluations,https://www.vinted.fr/items/6052879045-casquette-nike-adultes-neuf-avec-etiquette
Nike Cap Kappe rosa,Nike,5.0,4,12,No rating,No evaluations,https://www.vinted.fr/items/6052674857-nike-cap-kappe-rosa
rote Nike Cap Retro,Nike,8.0,3,48,No rating,No evaluations,https://www.vinted.fr/items/6049687263-rote-nike-cap-retro
Nike Cap,Nike,8.5,3,3,No rating,No evaluations,https://www.vinted.fr/items/6051203442-nike-cap
Nike cap,Nike,3.0,4,6,No rating,No evaluations,https://www.vinted.fr/items/6047441134-nike-cap
Schirmmütze Nike,Nike,10.0,3,19,No rating,No evaluations,https://www.vinted.fr/items/6045522737-schirmmutze-nike
Nike Cap,Nike,6.0,3,26,No rating,No evaluations,https://www.vinted.fr/items/6043779621-nike-cap
"Nike Kappe grau meliert One Size, neu",Nike,9.0,2,18,No rating,No evaluations,https://www.vinted.fr/items/6044911749-nike-kappe-grau-meliert-one-size-neu
Schwarze Nike Kappe,Nike,7.5,3,35,No rating,No evaluations,https://www.vinted.fr/items/6043729458-schwarze-nike-kappe
Vintage Nike cap,Nike,15.0,3,2,No rating,No evaluations,https://www.vinted.fr/items/6054323917-vintage-nike-cap
Nike Kappe,Nike,8.0,3,0,No rating,No evaluations,https://www.vinted.fr/items/6053957171-nike-kappe
Herren Cap von Nike - Käppi,Nike,4.0,4,8,No rating,No evaluations,https://www.vinted.fr/items/6044396274-herren-cap-von-nike-kappi
nike snapback gr.58,Nike,12.0,3,1,No rating,No evaluations,https://www.vinted.fr/items/6054662526-nike-snapback-gr58
Nike cap,Nike,9.0,3,0,No rating,No evaluations,https://www.vinted.fr/items/6052204713-nike-cap
Nike cap,Nike,10.0,3,17,No rating,No evaluations,https://www.vinted.fr/items/6041663864-nike-cap
Nike käppi Gr. S/M,Nike,10.0,1,3,No rating,No evaluations,https://www.vinted.fr/items/6052509739-nike-kappi-gr-sm
nike kappe,Nike,15.0,4,7,No rating,No evaluations,https://www.vinted.fr/items/6043422276-nike-kappe
Nike Kappe,Nike,15.0,3,2,No rating,No evaluations,https://www.vinted.fr/items/6053336553-nike-kappe
Nike Cap,Nike,8.0,3,12,No rating,No evaluations,https://www.vinted.fr/items/6035625766-nike-cap
1.FC Kaiserslautern Mütze von Nike,Nike,10.0,3,0,No rating,No evaluations,https://www.vinted.fr/items/6051600385-1fc-kaiserslautern-mutze-von-nike
Nike Golf Cap,Nike,6.0,3,8,No rating,No evaluations,https://www.vinted.fr/items/6035929948-nike-golf-cap
Nike Jordan Cap / Käppi / Mütze,Nike,8.0,4,0,No rating,No evaluations,https://www.vinted.fr/items/6052678184-nike-jordan-cap-kappi-mutze
Nike black cap,Nike,20.0,1,1,No rating,No evaluations,https://www.vinted.fr/items/6051912077-nike-black-cap
Nike kappe neu,Nike,9.0,1,17,4.8,69,https://www.vinted.fr/items/6031463403-nike-kappe-neu
