Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
Jean Carhartt 30x32,Carhartt,16.0,Good,4,5,5,"Jean Carhartt 
Taille 30x32 
Très bonne état",https://www.vinted.fr/items/5852149444-jean-carhartt-30x32
Pantalon chino bleu marine Carhartt W34 L30 workwear de travail habillé stylé delavé - PAN0767,Carhartt,17.99,Good,4,5,1749,"- Bon état

- traces de délavement un peu partout 

👉 Les pantalons rework Carhartt que je propose sont issus de marques de même qualité et ont été transformés avec soin. Les étiquettes de taille étant parfois inexactes, merci de vous référer aux mesures précises que j'ai prises et ajoutées en photo pour garantir un achat adapté.

- 100 % coton

🧼🧽 Les vêtements sont lavés, repassés et pliés.

📦 Livraison : Envoie des colis sous 24H
----------
#pantalonchino #carhartt #bleumarine #tailleW34L30 #workwear #vetementtravail #stylé #delavé #modeauthentique #chicdécontracté
#carhartthose #dunkelblau #größeW34L30 #arbeitskleidung #bequem #elegant
#carharttbroek #donkerblauw #maatW34L30 #werkstijl #stijlvol
#pantaloncarhartt #pantalonazulmarino #tallaW34L30 #estilotrabajo #resistente #modaurbana #comodidad #ropalaboral #lookpro
#calçachino #carharttazulmarinho #tamanhoW34L30 #roupadetrabalho #confortável
#jeanscarhartt #pantaloneblu #tagliaW34L30 #stilelavoro #abbigliamentoelegante
#carharttchino #navychino #sizeW34L30 #workwearfashion #smartcasual #urbanstyle #classicworkwear #hardwearing #streetwear #refinedlook",https://www.vinted.fr/items/5851470764-pantalon-chino-bleu-marine-carhartt-w34-l30-workwear-de-travail-habille-style-delave-pan0767
Carhartt Baggy vintage,Carhartt,20.0,Good,10,3.9,21,"Baggy distressed vintage pants 
Amazing wash
Fixed price",https://www.vinted.fr/items/5851456907-carhartt-baggy-vintage
Carhartt Heavy Dungaree,Carhartt,40.0,Good,3,4.9,6192,"✅Tiene defectos

‼️Puedes solicitar un lote para obtener
descuentos‼️

🚚Envío rápido 24/48h de lunes a viernes📦💨 (SEUR y Correos puede tardar algo más)

📏Medidas en las últimas fotos 

⚠️No acepto devoluciones por fallo en la talla así que comprobad las medidas y aseguraos de que os sirve ( solo acepto devoluciones si es por un fallo mío )

🤗No dudes en echar un vistazo a mi
armario, tengo muchos artículos. 

🗣Si tienes alguna pregunta, te responderé con mucho gusto.

💶Puedo negociar el precio, siempre que la oferta sea razonable. 🔴NO ACEPTO OFERTAS MÍNIMAS 🔴

🏷🏷🏷🏷🏷

#vintage #branded #y2k #vintage #vintagefashion #ootd",https://www.vinted.fr/items/5850682916-carhartt-heavy-dungaree
Vintage Carhartt Dungaree Made in USA 32x30,Carhartt,55.0,Good,9,4.9,6192,"✅Tiene defectos

‼️Puedes solicitar un lote para obtener
descuentos‼️

🚚Envío rápido 24/48h de lunes a viernes📦💨 (SEUR y Correos puede tardar algo más)

📏Medidas en las últimas fotos 

⚠️No acepto devoluciones por fallo en la talla así que comprobad las medidas y aseguraos de que os sirve ( solo acepto devoluciones si es por un fallo mío )

🤗No dudes en echar un vistazo a mi
armario, tengo muchos artículos. 

🗣Si tienes alguna pregunta, te responderé con mucho gusto.

💶Puedo negociar el precio, siempre que la oferta sea razonable. 🔴NO ACEPTO OFERTAS MÍNIMAS 🔴

🏷🏷🏷🏷🏷

#vintage #branded #y2k #vintage #vintagefashion #ootd",https://www.vinted.fr/items/5850682926-vintage-carhartt-dungaree-made-in-usa-32x30
Carhartt Dungaree,Carhartt,35.0,Good,3,4.9,6192,"✅Tiene defectos

‼️Puedes solicitar un lote para obtener
descuentos‼️

🚚Envío rápido 24/48h de lunes a viernes📦💨 (SEUR y Correos puede tardar algo más)

📏Medidas en las últimas fotos 

⚠️No acepto devoluciones por fallo en la talla así que comprobad las medidas y aseguraos de que os sirve ( solo acepto devoluciones si es por un fallo mío )

🤗No dudes en echar un vistazo a mi
armario, tengo muchos artículos. 

🗣Si tienes alguna pregunta, te responderé con mucho gusto.

💶Puedo negociar el precio, siempre que la oferta sea razonable. 🔴NO ACEPTO OFERTAS MÍNIMAS 🔴

🏷🏷🏷🏷🏷

#vintage #branded #y2k #vintage #vintagefashion #ootd",https://www.vinted.fr/items/5850682687-carhartt-dungaree
Carhartt Hose,Carhartt,20.0,Good,6,5,3,"Kleiner gelber Fleck aber stört nicht.
Bei fragen gerne melden",https://www.vinted.fr/items/5848590441-carhartt-hose
"Carhartt Newel Pant, W32",Carhartt,55.0,Good,4,4.9,54,"Hose in sehr gutem Zustand

Lockere Passform mit zulaufendem Bein, Cord

https://www.schrittmacher-shop.com/products/carhartt-wip-newel-pant-grau-i031456-1cq-02-00",https://www.vinted.fr/items/5848576956-carhartt-newel-pant-w32
Blaue Carhartt Western Pant  Größe 36/34,Carhartt,35.0,Good,4,No rating,No evaluations,Blaue Carhartt Western Pant  Größe 36/34,https://www.vinted.fr/items/5848386078-blaue-carhartt-western-pant-grosse-3634
Jean carhartt,Carhartt,30.0,Good,3,4.7,25,Bon état général,https://www.vinted.fr/items/5848210339-jean-carhartt
Jean Carhartt,Carhartt,18.0,Good,4,5,49,Joli jean en bon état 🤩 usure uniquement en bas des jambes ( voir photos) sinon il est nickel 👌.Coupe large.,https://www.vinted.fr/items/5848056795-jean-carhartt
Carhartt Jeans,Carhartt,35.0,Good,9,4.9,73,"Jeans Carhartt

Taille : 30
Très bon état 
Juste un petit trou d’usure sur la poche arrière droite",https://www.vinted.fr/items/5847876706-carhartt-jeans
Pantalone Carhartt Blu Vintage,Carhartt,20.0,Good,12,4.7,9,Articolo in buone condizioni piccoli segni di usura sulle gambe,https://www.vinted.fr/items/5847832674-pantalone-carhartt-blu-vintage
Jeans Carhartt blue claire,Carhartt,25.0,Good,16,4.3,18,"Jeans carhartt, taille 30, bon état, pas de taches, très à la mode,",https://www.vinted.fr/items/5847063557-jeans-carhartt-blue-claire
Pantalon jean  carpenter Carhartt bleu marine W42 L29 workwear de travail - PAN0678,Carhartt,18.99,Good,4,5,1749,"- Bon état général, 

- chevilles abîmées, petites tâches blanches à l'arrière 

👉 Les pantalons rework Carhartt que je propose sont issus de marques de même qualité et ont été transformés avec soin. Les étiquettes de taille étant parfois inexactes, merci de vous référer aux mesures précises que j'ai prises et ajoutées en photo pour garantir un achat adapté.

- 100 % coton

🧼🧽 Les vêtements sont lavés, repassés et pliés.

📦 Livraison : Envoie des colis sous 24H
----------
#pantaloncarpenter #jeancarhartt #bleumarine #tailleW42L29 #workwearstyle #vetementtravail #jeanrobuste #lookpratique #denimmarine #modeauthentique
#carharttjeans #dunkelblaujeans #größeW42L29 #arbeitskleidung #robustemode
#carharttbroek #donkerblauwebroek #werkstijl #maatW42L29 #denimkwaliteit
#vaquerocarhartt #jeansazuloscuro #tallaW42L29 #estilotrabajo #roparesistente #modaduradera #denimclásico #ropaútil #lookprofesional #prendaurbana
#calçacarpinteiro #jeansazulescuro #tamanhoW42L29 #roupadetrabalho #estiloprático #modaprofissional #calçadurável #roupafuncional #lookcasual #modaretro
#jeanscarhartt #bluoscurojeans #tagliaW42L29 #stilelavoro #denimitaliano
#carharttdenim #darkbluejeans #sizeW42L29 #workwearfashion #ruggedstyle #professionalclothing #functionaldenim #urbanlook #classicworkwear #denimwear",https://www.vinted.fr/items/5846981701-pantalon-jean-carpenter-carhartt-bleu-marine-w42-l29-workwear-de-travail-pan0678
Carhartt Jeans Grau Größe 32/ M,Carhartt,64.9,Good,4,4.7,65,"•Größe: 32/ M
•Maße: 100 x 42 x 18 cm
•Zustand: 8.5/10
•kleiner Fleck am rechten Bein, sonst guter Zustand
•sehr gute Qualität
•schöner Fit

📦6,20€, DHL
🏦PayPal, System

Bei Fragen gerne melden!",https://www.vinted.fr/items/5846405869-carhartt-jeans-grau-grosse-32-m
vaqueros negros carhartt,Carhartt,25.0,Good,12,5,1,"vaqueros negros carhartt bastante usados y en un estado medio.
Talla
Envíos rápidos🚚",https://www.vinted.fr/items/5845320583-vaqueros-negros-carhartt
Calças Carhartt Rebel Pant 33x32,Carhartt,11.0,Good,4,5,9,Usado algumas vezes com marcas de uso normais. Medida foi ajustada são um bocadinho mais curtas.,https://www.vinted.fr/items/5845062396-calcas-carhartt-rebel-pant-33x32
Pantalon car,Carhartt,40.0,Good,9,No rating,No evaluations,Pantalon carth,https://www.vinted.fr/items/5844640461-pantalon-car
Jean droit marron / kaki Carhartt 28*34,Carhartt,15.0,Good,3,4.9,82,"Jean droit de couleur marron / kaki de chez Cartharrt. Taille 28*34. Très solide. Un peu délavé, années 2000.

100% coton

Tous les articles sont lavés avant envoi.",https://www.vinted.fr/items/5843845333-jean-droit-marron-kaki-carhartt-2834
Jean Carhartt kaki workwear,Carhartt,25.0,Good,16,4.9,2991,"Clique ici pour voir toutes les tailles 32 de mon dressing : #32323232_jeans 

Condition : 6/10
Taille : 32/32
Mesures :

Largeur : 42
Longueur : 112
Largeur des chevilles : 23

Je mesure 1m75 pour 75kg",https://www.vinted.fr/items/5843805074-jean-carhartt-kaki-workwear
Pantalon coupe droite vintage early 2000’s workwear,Carhartt,16.0,Good,16,4.9,33,"Mesure : 
Largeur de la taille : 40 cm 
Longueur : 100 cm 
Largeur des cuisses : 25 cm 
Largeur des chevilles : 21 cm 

Envoie 24-48 h 

Le mannequin mesure 1m76 bon shopping pour 65 kg 🤺



workwear 
2. #VêtementsDeTravail
3. #PantalonDeTravail
4. #WorkwearStyle
5. #SécuritéAuTravail
8. #WorkwearFashion
9. #VêtementsRobustes
10. #WorkwearLook",https://www.vinted.fr/items/5843150606-pantalon-coupe-droite-vintage-early-2000s-workwear
Pantalon vaqueros Carhartt Talla 30/32   41  Española buen estado,Carhartt,22.5,Good,3,4.7,192,"¡Dale un toque cool a tu look con estos pantalones vaqueros Carhartt! Talla 30/32, en un buen estado  y listos para acompañarte en cualquier aventura. Perfectos para lucir casual y cómodo. ¡No te los pierdas!
medidas cintura 41 cts. largo 98 cts. bajos 24 cts.   bragueta  cremallera",https://www.vinted.fr/items/5842855302-pantalon-vaqueros-carhartt-talla-3032-41-espanola-buen-estado
Carhartt Hose,Carhartt,20.0,Good,8,No rating,No evaluations,Verkaufe dunkel blaue carhartt hose 33/32,https://www.vinted.fr/items/5842336514-carhartt-hose
Carhartt double knee,Carhartt,40.0,Good,15,4.3,74,"Decent condition
For sizing check the photos :)",https://www.vinted.fr/items/5841920520-carhartt-double-knee
Pantalon jean bleu clair Carhartt W38 L30 workwear de travail - PAN0637,Carhartt,20.99,Good,7,5,1749,"- Bon état général

- abîmé au niveau des hanches, taches blanches, niveau poche arrière, et chevilles 

👉 Les pantalons rework Carhartt que je propose sont issus de marques de même qualité et ont été transformés avec soin. Les étiquettes de taille étant parfois inexactes, merci de vous référer aux mesures précises que j'ai prises et ajoutées en photo pour garantir un achat adapté.

- 100 % coton

🧼🧽 Les vêtements sont lavés, repassés et pliés.

📦 Livraison : Envoie des colis sous 24H
----------
#pantalon #jean #bleuclair #carhartt #workwear #travail #homme #durable #robuste #arbeitshose #baustelle #werkkleidung #broek #werkbroek #carharttbroek #vaquero #pantalonvaquero #ropadetrabajo #pantalóndetrabajo #calça #roupadetrabalho #carharttbrasil #calçajeans #pantalone #abbigliamento #jeanslavoro #traballaláimhe #donn #bríste #obairéadach #carpenterpants #carharttworkwear #menstyle #utilitywear #loosefit #baggy #w38 #l30 #streetwear #sturdyclothing #urbanwear #hardwearing #ruggedpants #oversizedfashion #americanworkwear #outdoorclothing #functionalwear #heavy-duty #durablefashion #constructionwear",https://www.vinted.fr/items/5841283006-pantalon-jean-bleu-clair-carhartt-w38-l30-workwear-de-travail-pan0637
Jean homme carhartt T28 soit un XS,Carhartt,15.0,Good,4,4.9,279,"Porté  
Super modèle 
Légère tâche, voir derniere photo",https://www.vinted.fr/items/5841269286-jean-homme-carhartt-t28-soit-un-xs
Carhartt Baggy Hose,Carhartt,20.0,Good,5,5,1,Bei Fragen gerne schreiben!,https://www.vinted.fr/items/5841150274-carhartt-baggy-hose
