Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type,prix_median_groupe,favoris_median_groupe,z_score_prix,bonne_affaire
The North face Pullover schwarz ,The North Face,14.0,4.0,11,4.8,36.0,"Gut erhaltener schwarzer The north face pullover, Grösse S, keine Mängel",https://www.vinted.fr/items/2484309352-the-north-face-pullover-schwarz,sweats,17.0,4.0,-0.5050400877647909,1
Cappello invernale berretto invernale Carhartt,Carhartt,20.0,3.0,0,4.9,336.0,,https://www.vinted.fr/items/6009183698-cappello-invernale-berretto-invernale-carhartt,casquettes,15.0,5.0,1.0493132149290272,0
Sweat,The North Face,10.0,3.0,13,4.8,21.0,Sweat THE NORTH FACE,https://www.vinted.fr/items/5943322586-sweat,sweats,17.0,4.0,-1.0495619568488193,1
Carhartt sweater ,Carhartt,9.0,3.0,12,5.0,2.0,"Wurde sehr selten getragen und befindet sich in einem gutem Zustand.



Bei weiteren Fragen bitte melden :)",https://www.vinted.fr/items/2938279860-carhartt-sweater,sweats,25.0,6.0,-1.6614682969659418,0
Casquette carhartt noir brodé blanche.,Carhartt,24.0,3.0,6,,,,https://www.vinted.fr/items/6014294679-casquette-carhartt-noir-brode-blanche,casquettes,15.0,5.0,1.854784328220111,0
Zwarte trui van The North Face,The North Face,16.0,4.0,11,5.0,1.0,Gedragen,https://www.vinted.fr/items/5960331867-zwarte-trui-van-the-north-face,sweats,17.0,4.0,-0.23277915322277673,0
Carhartt »Detroid« Cap ,Carhartt,10.0,3.0,7,5.0,98.0,,https://www.vinted.fr/items/708353618-carhartt-detroid-cap,casquettes,15.0,5.0,-0.9643645682986828,1
Rosafarbene Mütze ungetragen,Carhartt,15.0,2.0,10,5.0,62.0,,https://www.vinted.fr/items/5798730456-rosafarbene-mutze-ungetragen,casquettes,15.0,5.0,0.04247432331517214,0
Carhartt Winter Parka Jacke Größe S schwarz,Carhartt,30.0,3.0,0,4.9,18.0,"Wenig getragener Anorak mit Kapuze von Carhartt. Reißverschluss und Druckknöpfe zum
Verschließen. Bänder in der Taille zum
Engermachen. Gefüttert. Innenfutter Teddyfutter. Auch in der Kapuze. Außen 4 Taschen. Eine Innentasche 
Ärmel können enger geknöpft werden. Lieblingsjacke! Leider zu klein.",https://www.vinted.fr/items/6025586110-carhartt-winter-parka-jacke-grosse-s-schwarz,manteaux,51.0,7.0,-0.9339396392593768,0
The North Face Pullover ,The North Face,15.0,4.0,13,5.0,1.0,Original siehe Bilder,https://www.vinted.fr/items/2768579179-the-north-face-pullover,sweats,17.0,4.0,-0.36890962049378384,0
Carhartt Mentor Jacket,Carhartt,30.0,3.0,11,5.0,54.0,"Top Zustand. Teddyfell Futter/ sherpa lined. Also schön warm.
Mit Kapuze",https://www.vinted.fr/items/5725392613-carhartt-mentor-jacket,manteaux,51.0,7.0,-0.9339396392593768,1
Grauer Sweater - Carhartt,Carhartt,19.0,3.0,8,4.6,21.0,Oft getragen,https://www.vinted.fr/items/1683256585-grauer-sweater-carhartt,sweats,25.0,6.0,-0.5767269980041129,1
Sweat the north face,The North Face,5.0,,1,4.5,8.0,Sweat porté pas mal de fois avec un petit défaut mais propre,https://www.vinted.fr/items/6041521814-sweat-the-north-face,sweats,17.0,4.0,-1.7302142932038547,0
The North Face Männer Pulli ,The North Face,18.0,4.0,2,4.8,20.0,North Face Vintage Männer Pulli mit Fisch Muster,https://www.vinted.fr/items/3604618380-the-north-face-manner-pulli,sweats,17.0,4.0,0.039481781319237415,0
Carhartt WIP Tropper Parka,Carhartt,120.0,3.0,6,,,"Kaum getragen und in top Zustand, keine Mängel vorhanden",https://www.vinted.fr/items/1362781961-carhartt-wip-tropper-parka,manteaux,51.0,7.0,1.5149984022494882,0
The North Face Pullover,The North Face,14.0,3.0,1,5.0,312.0,Kaum getragen. Sehr guter Zustand. Fällt normal aus,https://www.vinted.fr/items/5619326477-the-north-face-pullover,sweats,17.0,4.0,-0.5050400877647909,0
Veste polaire marron The North Face - Taille XL Homme,The North Face,17.9,3.0,4,4.6,70.0,"🔹 Veste polaire marron The North Face - Taille XL Homme 🔹

Je vends cette superbe veste polaire The North Face en taille XL pour homme.
✔️ Couleur : Marron
✔️ Matière : Polaire douce et chaude
✔️ Fermeture : Zip 1/4 au niveau du col
✔️ État : Très bon état

Parfaite pour les activités en extérieur, la randonnée ou un look casual et confortable au quotidien. 🔥

📦 Envoi rapide 📍 Remise en main propre possible

N’hésitez pas à me contacter pour plus d’infos ! 😊

#TheNorthFace #VestePolaire #Outdoor #Randonnée #ModeHomme #Streetwear #XL #Hiver #Sport #Casual #tnf700",https://www.vinted.fr/items/6012813853-veste-polaire-marron-the-north-face-taille-xl-homme,sweats,17.0,4.0,0.025868734592136514,0
Carhartt Pulli S,Carhartt,10.0,3.0,7,4.9,74.0,"Guter Zustand, selten getragen, Druck unbeschädigt",https://www.vinted.fr/items/6004603775-carhartt-pulli-s,sweats,25.0,6.0,-1.552994167069759,1
Sweat à enfiler The North Face Gris Flocage Bleu Taille M homme,The North Face,20.0,3.0,0,5.0,97.0,"🧥 Marque : The North Face

📝 Modèle : Sweat à enfiler

🎨 Couleur : Gris avec flocage bleu

📏 Taille : M (Homme)

✨ État : Très bon état

📦 Description : Sweat à enfiler The North Face gris avec un flocage bleu sur le torse. Style classique et intemporel, idéal pour un look décontracté ou sportif.

#TheNorthFace #SweatTheNorthFace #ModeHomme #SweatGris #FlocageBleu #StyleDécontracté #ModeOutdoor #CasualLook #TheNorthFaceOriginal #VêtementHommeTendance",https://www.vinted.fr/items/6017333808-sweat-a-enfiler-the-north-face-gris-flocage-bleu-taille-m-homme,sweats,17.0,4.0,0.3117427158612516,0
Zwarte trui van the north face.,The North Face,9.5,3.0,13,4.9,17.0,"Deze trui is amper gedragen en dus nog in hele goede staat, de trui is in maat m.",https://www.vinted.fr/items/5999102982-zwarte-trui-van-the-north-face,sweats,17.0,4.0,-1.1176271904843227,0
Carhartt Winterjacke (L),Carhartt,71.0,3.0,0,4.9,110.0,,https://www.vinted.fr/items/5999624129-carhartt-winterjacke-l,manteaux,51.0,7.0,0.18168769076132835,0
Pullover,Carhartt,15.0,4.0,1,5.0,8.0,"gelber Carhartt Pullover 
Größe M",https://www.vinted.fr/items/5898080201-pullover,sweats,25.0,6.0,-1.0106235175888445,0
Northface trui maat S,The North Face,7.99,4.0,6,4.8,104.0,Northface trui,https://www.vinted.fr/items/6036354803-northface-trui-maat-s,sweats,17.0,4.0,-1.3231841960635433,1
Carhartt Mütze ,Carhartt,10.0,3.0,0,4.7,58.0,,https://www.vinted.fr/items/4106646745-carhartt-mutze,casquettes,15.0,5.0,-0.9643645682986828,0
Patta Carhartt Pullover M,Carhartt,15.0,4.0,7,5.0,733.0,Siehe letztes Bild: Fleck vorhanden,https://www.vinted.fr/items/5553701806-patta-carhartt-pullover-m,sweats,25.0,6.0,-1.0106235175888445,1
Sweat,The North Face,10.0,3.0,13,4.8,21.0,Sweat THE NORTH FACE,https://www.vinted.fr/items/5943322586-sweat,sweats,17.0,4.0,-1.0495619568488193,1
Taille M,The North Face,18.0,3.0,1,4.8,1201.0,Taille M,https://www.vinted.fr/items/6029273886-taille-m,sweats,17.0,4.0,0.039481781319237415,0
pull the north face,The North Face,9.0,3.0,10,3.3,15.0,très bon état avec une légère décoloration au niveau de la poche de la manche mais très léger,https://www.vinted.fr/items/4482673632-pull-the-north-face,sweats,17.0,4.0,-1.1856924241198263,0
