Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type,prix_median_groupe,favoris_median_groupe,z_score_prix,bonne_affaire
Carhartt - Clash Parka - schwarz - M,362,10.0,,17,5.0,15.0,"Gern getragener Carhartt Clash Parka mit Gerbrauchsspuren (siehe Bilder) mit Steppfutter. Alle Ressverschlüsse und Knöpfe in Takt. Rückenteil Fishbone kann hochgenöpft werden. 
Innentasche vorhanden.",https://www.vinted.fr/items/5192275171-carhartt-clash-parka-schwarz-m,2051,51.0,7.0,-1.4781480929280135,0
Bonnet the north face,2319,15.0,1.0,6,5.0,18.0,"Neuf, jamais porté.",https://www.vinted.fr/items/5779309695-bonnet-the-north-face,2964,10.0,4.0,1.4049941553278567,0
Short The North Face,2319,6.0,4.0,8,4.9,63.0,,https://www.vinted.fr/items/4955857163-short-the-north-face,586,20.0,4.0,-1.6759599063401425,1
Jogging,2319,5.0,,2,3.9,17.0,Jogging the north face il ya une tache,https://www.vinted.fr/items/4423045839-jogging,586,20.0,4.0,-1.8066968575679287,0
Parka Carhartt,362,45.0,3.0,13,5.0,73.0,"Selten getragener Parka von Carharrt „Mosley Jacket“, Größe M, dunkelblau.",https://www.vinted.fr/items/5093228943-parka-carhartt,2051,51.0,7.0,-0.5257832990078993,1
"Pantaloncino The North Face, taglia S, grigio",2319,4.5,3.0,13,5.0,222.0,"Indossato poche volte,praticamente nuovo. Ottime condizioni. Taglia S,giro vita interno 72 cm circa,regolabile con elastico e coulisse.",https://www.vinted.fr/items/5335880710-pantaloncino-the-north-face-taglia-s-grigio,586,20.0,4.0,-1.8720653331818218,1
Bonnet gris clair,2319,9.99,1.0,4,5.0,6.0,"Neuf avec étiquette 🏷
Taille unique,
Envoie rapide.",https://www.vinted.fr/items/6032100798-bonnet-gris-clair,2964,10.0,4.0,0.0052463812104859495,0
Hellgrau melierter Pullover,362,17.0,3.0,7,5.0,134.0,"Dünner Sweater Langarmshirt von Carharrt, perfekt für laue Sommerabende:) super Zustand.
L: 63cm
B (Achsel-Achsel): 56cm",https://www.vinted.fr/items/2029393667-hellgrau-melierter-pullover,1811,25.0,6.0,-0.7936752577964786,1
Short The Norh Face ,2319,10.0,4.0,7,4.7,68.0,,https://www.vinted.fr/items/3865085746-short-the-norh-face,586,20.0,4.0,-1.1530121014289971,1
The North Face Mütze,2319,15.0,3.0,14,4.6,57.0,"Hier selbst gekauft, leider ist sie etwas zu groß",https://www.vinted.fr/items/4945336388-the-north-face-mutze,2964,10.0,4.0,1.4049941553278567,0
Sport Hose,2319,12.0,4.0,8,5.0,72.0,,https://www.vinted.fr/items/4982011215-sport-hose,586,20.0,4.0,-0.8915381989734245,1
Carhartt langarmshirt ,362,30.0,3.0,11,,,"langarmshirt von carhartt, maximal 3 mal getragen",https://www.vinted.fr/items/1456542251-carhartt-langarmshirt,1811,25.0,6.0,0.6164884308538988,0
Bonnet The North Face,2319,7.0,3.0,0,4.7,17.0,"Bonnet The North Face en bonne état porter quelque fois taille unique
Envoie rapide",https://www.vinted.fr/items/6012573161-bonnet-the-north-face,2964,10.0,4.0,-0.8301320308875059,0
Short The North Face,2319,15.0,3.0,10,5.0,22.0,"Short, The North Faith en très bon état taille M",https://www.vinted.fr/items/6010920772-short-the-north-face,586,20.0,4.0,-0.4993273452900655,0
Carhartt Mütze,362,15.0,2.0,5,5.0,3.0,Nie getragen!,https://www.vinted.fr/items/6024965021-carhartt-mutze,287,15.0,5.0,0.04247432331517214,0
T-shirt manche longue TNF,2319,10.0,3.0,4,5.0,3.0,"Taille : L
Porter quelques fois",https://www.vinted.fr/items/5998914242-t-shirt-manche-longue-tnf,1811,17.0,4.0,-1.0495619568488193,0
Short The North Face beige,2319,25.0,2.0,4,4.4,86.0,"®️ Marca: The North Face
✅ Calidad: 10/10 (sin estrenar)
🏷️ Talla: M (41 cm cintura y 48 cm largo)
🧵 Desperfectos: Ninguno
📤 Envíos: Rápidos (12-24 horas)
⚠️ Dudas por chat (respondo rápido)
💲 Haz una buena oferta y te lo llevas!",https://www.vinted.fr/items/4716478201-short-the-north-face-beige,586,20.0,4.0,0.8080421669877976,0
The North Face beanie,2319,5.0,4.0,1,4.3,11.0,"Versand in 24h/48h 📦
Bei Intersse oder Fragen gerne melden!",https://www.vinted.fr/items/6027013104-the-north-face-beanie,2964,10.0,4.0,-1.3889135774413466,0
Carhartt Og Chore Coat,362,78.0,3.0,8,4.5,16.0,"Selten Getragen, guter zustand",https://www.vinted.fr/items/5703629186-carhartt-og-chore-coat,2051,51.0,7.0,0.37216064954535116,0
Bonnet The Nort Face kaki,2319,8.0,3.0,6,4.9,112.0,Bonnet unisexe avec polaire aux oreilles. TBE,https://www.vinted.fr/items/5296489987-bonnet-the-nort-face-kaki,2964,10.0,4.0,-0.5507412576105856,1
Sweat à enfiler The North Face Gris Flocage Bleu Taille M homme,2319,20.0,3.0,0,5.0,97.0,"🧥 Marque : The North Face

📝 Modèle : Sweat à enfiler

🎨 Couleur : Gris avec flocage bleu

📏 Taille : M (Homme)

✨ État : Très bon état

📦 Description : Sweat à enfiler The North Face gris avec un flocage bleu sur le torse. Style classique et intemporel, idéal pour un look décontracté ou sportif.

#TheNorthFace #SweatTheNorthFace #ModeHomme #SweatGris #FlocageBleu #StyleDécontracté #ModeOutdoor #CasualLook #TheNorthFaceOriginal #VêtementHommeTendance",https://www.vinted.fr/items/6017333808-sweat-a-enfiler-the-north-face-gris-flocage-bleu-taille-m-homme,1811,17.0,4.0,0.3117427158612516,0
