Title,Brand,user_url,Type,Price,ItemStatus,NbFavourite,Iduser,URL,photo_url,currency,NbEvalUser,UserRating,Description
Pant The North Face,The North Face,https://www.vinted.fr/member/21778344-romlp78,pantalons,16.0,3,5,21778344,https://www.vinted.fr/items/6172024033-pant-the-north-face,https://images1.vinted.net/t/03_02450_c9SpnmLCXdjRQCuWyAz4eayR/f800/1744994854.jpeg?s=b50065a94351ceffeb93b207812cc9fed5090d6b,EUR,81,4.2,"ℹ️Pant TNF
✅Très bon état 
📦envoie rapide"
Legging The north face homme,The North Face,https://www.vinted.fr/member/17145619-claudiabelo,pantalons,10.0,3,13,17145619,https://www.vinted.fr/items/6171189237-legging-the-north-face-homme,https://images1.vinted.net/t/02_00efd_vuf4kYdBnCJYUcvJ9iCQ4P85/f800/1744988147.jpeg?s=1ae341b35f980411804523133117b25789a0057e,EUR,176,4.9,"Je vends un legging homme de la marque The North Face, taille L. Le « N » de North Face s’est enlevé sur legging legging (voir photo). Hormis cela, legging impeccable !
Possibilité de serrer le legging à la taille à l’aide des cordons intérieur !"
"Zip-off, Sommerwanderhose, grau, Atmungsaktiv, Größe S",The North Face,https://www.vinted.fr/member/44122574-juliabittner,pantalons,15.0,4,2,44122574,https://www.vinted.fr/items/6169042733-zip-off-sommerwanderhose-grau-atmungsaktiv-grosse-s,https://images1.vinted.net/t/04_024a1_J8MZ2ctaeX2xC72KSGYyFpTS/f800/1744970384.jpeg?s=43daea9e163a0c5edcf627b825f7c854917805d6,EUR,7,5,"Seht bequeme Wanderhose , oft getragen , Robuster Stofff"
Pantalon the north face windwall,The North Face,https://www.vinted.fr/member/53817264-mathieu21420,pantalons,25.0,3,2,53817264,https://www.vinted.fr/items/6170115942-pantalon-the-north-face-windwall,https://images1.vinted.net/t/01_0199a_mex7a3KmjxTvSxsDukPCv3fy/f800/1744979586.jpeg?s=c73276b46d66b56cc71f011b83ca9cf5e87b23c4,EUR,189,5,"Vends un pantalon the north face 
Modèle windwall 
Modèle homme 
Taille 30X32

Taille 38cm
Longueur totale 98cm"
Cargo The North face,The North Face,https://www.vinted.fr/member/5132794-jeanne596,pantalons,55.0,1,27,5132794,https://www.vinted.fr/items/6156813036-cargo-the-north-face,https://images1.vinted.net/t/04_005b9_anBDeFpxCsgXeWGpXW6vnTUh/f800/1744756609.jpeg?s=db7008cbe6fcb6e739e302439bf609fae8c75fef,EUR,223,4.3,Neuf encore avec étiquette et blister
The North Face Hose W38/L32,The North Face,https://www.vinted.fr/member/67705839-sven74749,pantalons,40.0,3,2,67705839,https://www.vinted.fr/items/6171533926-the-north-face-hose-w38l32,https://images1.vinted.net/t/04_007f0_78zJHSBug1hi15gkvoQwuPVR/f800/1744990846.jpeg?s=02601d61d51f8132819ff1f751e46bdb62c72ddf,EUR,4,5,"Sehr guter Zustand, Farbe schwarz."
Collant The North Face,The North Face,https://www.vinted.fr/member/33205922-valy68,pantalons,20.0,3,3,33205922,https://www.vinted.fr/items/6166060875-collant-the-north-face,https://images1.vinted.net/t/02_00050_P5ga1yTkjvPn8ATwmELTKzYf/f800/1744905238.jpeg?s=179e0ec367a3e6d2be6eeef8cd6657ff10da5ce4,EUR,192,4.9,En bon état idéal pour le running printanier
Pantalone tuta the North face,The North Face,https://www.vinted.fr/member/121038803-mari14376,pantalons,10.0,3,18,121038803,https://www.vinted.fr/items/6151170829-pantalone-tuta-the-north-face,https://images1.vinted.net/t/01_010e2_bHPvNN75oJnxqgR5wSh2tJJ2/f800/1744701144.jpeg?s=ea71022e474998828d6357daef1d153bc894bb34,EUR,1,5,"Pantalone tuta beige uomo in ottimo stato
Indossato poche volte"
Pantalon,The North Face,https://www.vinted.fr/member/14347626-emeraude59,pantalons,50.0,1,4,14347626,https://www.vinted.fr/items/6167583108-pantalon,https://images1.vinted.net/t/04_00d8f_YRZds2kF5uFW4jCZnzVGgWTB/f800/1744922424.jpeg?s=4d561064d063b15b8a6cd8d47371ef958da68464,EUR,264,4.5,"Pantalon 2 en 1 
Se transforme en short
The north face 
Neuf emballé
Originale 
Taille 34x32 

#pantalonhomme
#thenorthface
#pantashort"
Jogging Gris The North Face,The North Face,https://www.vinted.fr/member/14169683-emilebonbon,pantalons,10.0,3,8,14169683,https://www.vinted.fr/items/6153152377-jogging-gris-the-north-face,https://images1.vinted.net/t/03_00d75_n92B3eVRS16ojh515eCvDdbL/f800/1744720651.jpeg?s=3795b4c6d89e6098fc6beeb7e26d63d9fa9a42b1,EUR,No evaluations,No rating,"Confortable 
Peu porté 
Taille S"
Pantalon The North Face convertible fuselé Exploration pour homme,The North Face,https://www.vinted.fr/member/140325633-ilndz59,pantalons,50.0,1,5,140325633,https://www.vinted.fr/items/6167419364-pantalon-the-north-face-convertible-fusele-exploration-pour-homme,https://images1.vinted.net/t/03_00f3b_pyEUwq7ozNsABhRAT1VzHPyb/f800/1744919909.jpeg?s=6f9d443843b32f6045d726d1a0989d112d75e36e,EUR,13,5,"Pantalon neuf jamais porté.
110€ en magasin, 60€ chez moi.🤩
Taille disponible 34.
Envoi rapide sous 24h 📦"
Joggingbroek van TNF,The North Face,https://www.vinted.fr/member/220498180-anna8238,pantalons,7.5,4,0,220498180,https://www.vinted.fr/items/6164734404-joggingbroek-van-tnf,https://images1.vinted.net/t/04_00a99_Na4o2cRfnWY5LuCnEDmQi1nf/f800/1744893153.jpeg?s=3e1b7a466897a1eb37e58a1ab1a87e5cafa16330,EUR,28,5,"Maat XS
Paar kleine plekjes op de pijpen verder in goede staat"
Pantalon marche randonnée The North face,The North Face,https://www.vinted.fr/member/32781573-mariannemin,pantalons,35.0,3,4,32781573,https://www.vinted.fr/items/6165749019-pantalon-marche-randonnee-the-north-face,https://images1.vinted.net/t/04_01cb3_EhufrLNXFvb5Ts64rwmzsBy4/f800/1744902386.jpeg?s=ed38f25b24995222674f9f867fc832f1157b75e1,EUR,547,4.9,"Pantalon homme 
Pantacourt possible
Très bon état 
Mesures sur photos 
Taille L"
Jogging The North Face,The North Face,https://www.vinted.fr/member/199867877-mashasmirnov377,pantalons,30.0,3,1,199867877,https://www.vinted.fr/items/6171036458-jogging-the-north-face,https://images1.vinted.net/t/04_01804_wwAePTGXm85ZdRMDKbgk3v2X/f800/1744986944.jpeg?s=dbb6882eabf390284802fe7b4d756fe11eef4d92,EUR,12,5,Très bon état
Pantalon randonnée the north face,The North Face,https://www.vinted.fr/member/15299620-toomshi,pantalons,40.0,2,12,15299620,https://www.vinted.fr/items/6160270023-pantalon-randonnee-the-north-face,https://images1.vinted.net/t/04_02583_i1NTNrrdjZw5TLpd4huJkexP/f800/1744816389.jpeg?s=ef9936a59f72725711bab40d6976c4c3fc0fca2f,EUR,114,4.1,"Comme neuf
Légère bourres (cf photos)
Taille M"
