Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
The North Face Short L,The North Face,25.0,1,16,4.9,203,"Neu und Orginal 
Größe L",https://www.vinted.fr/items/6035352605-the-north-face-short-l,shorts
The North Face Class V Belted Shorts Tracking gore Tex,The North Face,29.0,3,0,4.9,20,Die Shorts sind in gutem Zustand. Aus frischen Kollektionen. Größe M-L. Es gibt viele Taschen. Sehr leicht und bequem. Eine Lieferung oder Abholung in Nürnberg ist möglich. Kein Umtausch oder Rückgabe,https://www.vinted.fr/items/6042896616-the-north-face-class-v-belted-shorts-tracking-gore-tex,shorts
North Face Shorts,The North Face,15.0,2,26,5,21,"Brand new north face shorts, just tried on once and never more.",https://www.vinted.fr/items/5611220458-north-face-shorts,shorts
Northface sports shorts,The North Face,10.0,4,16,5,61,Northface sports shorts with zipper pockets,https://www.vinted.fr/items/5864564117-northface-sports-shorts,shorts
The North Face extreme Jogging Shorts L,The North Face,5.0,Satisfactory,4,4.1,9,No description,https://www.vinted.fr/items/5912760757-the-north-face-extreme-jogging-shorts-l,shorts
The North Face Shorts,The North Face,18.0,3,3,5,20,No description,https://www.vinted.fr/items/5993337492-the-north-face-shorts,shorts
Weiße North Face Shorts,The North Face,5.0,4,6,5,57,No description,https://www.vinted.fr/items/5671351213-weisse-north-face-shorts,shorts
The North Face Shorts,The North Face,15.0,3,1,5,13,No description,https://www.vinted.fr/items/5998769036-the-north-face-shorts,shorts
Sport Hose,The North Face,12.0,4,8,5,72,No description,https://www.vinted.fr/items/4982011215-sport-hose,shorts
The North Face Shorts,The North Face,15.0,3,13,1.8,5,No description,https://www.vinted.fr/items/4677590762-the-north-face-shorts,shorts
The North face hose,The North Face,15.0,2,14,4.9,132,"Nie getragen, schild ist noch dabei, leider zu klein gekauft",https://www.vinted.fr/items/3507061502-the-north-face-hose,shorts
Frische TNF Kurze Hose,The North Face,15.0,2,24,4.1,14,"Kein einziges Mal getragen, da mein Sohn sehr schnell gewachsen ist und deshalb nicht mehr reingepasst hat. Größe S",https://www.vinted.fr/items/5746841507-frische-tnf-kurze-hose,shorts
Sportshort The North Face,The North Face,5.0,4,7,5,32,No description,https://www.vinted.fr/items/6040241557-sportshort-the-north-face,shorts
Pantalon corto The North Face,The North Face,12.0,2,7,4.7,31,"Como nuevo 
Valor en tienda 60€",https://www.vinted.fr/items/6041178595-pantalon-corto-the-north-face,shorts
Short,The North Face,10.0,3,5,1,1,"Bei Interesse gerne anschreiben. Ich verkaufe nicht über das Vinted System.
Gerne per PayPal oder Bankverbindung.",https://www.vinted.fr/items/5349073558-short,shorts
The North Face - Wandershorts Herren 34,The North Face,35.0,3,17,5,363,"Marke: The North Face
Produkt: Herren Shorts zum Wandern
Produktnummer: NF0A883Q
Farbe: schwarz
Größe: 34
Material: Nylon / Elastan
Besonderheit: Taschen mit Reißverschluss
Packbar: ja
Bundweite: 40 cm
Beinlänge: 48 cm

#thenorthface #tnf #shorts #hiking #nature #outdoor #packable #pockets #zipper",https://www.vinted.fr/items/5982784751-the-north-face-wandershorts-herren-34,shorts
The North Face Shorts,The North Face,17.0,2,57,1,1,No description,https://www.vinted.fr/items/4709061002-the-north-face-shorts,shorts
Short the north face,The North Face,10.0,3,4,4.2,21,"Aucun défaut taille correctement ✅
N’hésitez pas à me poser des questions pour + d’informations",https://www.vinted.fr/items/6042078025-short-the-north-face,shorts
The North Face Limitless Short Herren M cave blue,The North Face,20.0,3,13,5,4,Sehr guter Zustand,https://www.vinted.fr/items/5352776753-the-north-face-limitless-short-herren-m-cave-blue,shorts
besche The North Face Shorts,The North Face,15.0,3,3,5,14,"- ungetragen

Bitte nicht über das System kaufen, nur Paypal oder Überweisung",https://www.vinted.fr/items/4978819412-besche-the-north-face-shorts,shorts
The North Face kurze Wanderhose ,The North Face,20.0,3,48,4.9,18,"Die Hose wurde sehr selten getragen
Größe  fällt minimal kleiner aus 
Mit Taschen an den Seiten",https://www.vinted.fr/items/1929425134-the-north-face-kurze-wanderhose,shorts
The north face shorts,The North Face,30.0,2,31,4.3,3,No description,https://www.vinted.fr/items/3466375143-the-north-face-shorts,shorts
The North Face Shorts,The North Face,20.0,3,8,No rating,No evaluations,"Keine Mängel, top Zustand.",https://www.vinted.fr/items/5529657074-the-north-face-shorts,shorts
weiß türkise tnf shorts,The North Face,20.0,3,8,4.3,11,No description,https://www.vinted.fr/items/3390511250-weiss-turkise-tnf-shorts,shorts
The North Face Shorts,The North Face,35.0,1,37,No rating,No evaluations,No description,https://www.vinted.fr/items/1382736970-the-north-face-shorts,shorts
Short de sport léger,The North Face,18.0,3,5,5,200,No description,https://www.vinted.fr/items/5936458200-short-de-sport-leger,shorts
The North Face kurze Hose,The North Face,20.0,4,8,5,580,No description,https://www.vinted.fr/items/3392718665-the-north-face-kurze-hose,shorts
Short The North Face XL,The North Face,10.0,3,2,5,455,No description,https://www.vinted.fr/items/5746867367-short-the-north-face-xl,shorts
Short de randonnée  the normalement face,The North Face,20.0,1,5,4.8,90,No description,https://www.vinted.fr/items/6042802536-short-de-randonnee-the-normalement-face,shorts
Wanderhose,The North Face,15.0,3,2,5,223,No description,https://www.vinted.fr/items/4830448522-wanderhose,shorts
The North Face Shorts grau neu mit Etikett S,The North Face,25.0,1,1,4.7,45,No description,https://www.vinted.fr/items/5975462269-the-north-face-shorts-grau-neu-mit-etikett-s,shorts
