Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
The north Face Pullover,The North Face,10.0,4,4,4.6,9,Öfters getragen guter Zustand,https://www.vinted.fr/items/6035575906-the-north-face-pullover
The North Face,The North Face,15.0,3,2,No rating,No evaluations,"Nur ein Mal getragen 

Keine Rückgabe oder Garantie",https://www.vinted.fr/items/6032013490-the-north-face
Fleece pullover black,The North Face,30.0,1,12,4.9,236,New with tags.,https://www.vinted.fr/items/6025164010-fleece-pullover-black
The North Face Fleece Zip Hoodie,The North Face,24.99,3,17,4.9,27,"Wurde etwas getragen aber hat noch einen super Zustand. Keine Verfärbungen, Löcher, etc.",https://www.vinted.fr/items/6021407069-the-north-face-fleece-zip-hoodie
The North Face Pullover Schwarz,The North Face,39.9,2,0,4.7,36,"Super Zustand, Größe S",https://www.vinted.fr/items/6034560058-the-north-face-pullover-schwarz
Sweat The North Face L,The North Face,20.0,3,6,4.2,5,"Sehr guter Zustand. Nichtraucherhaushalt. Versand 3,99€",https://www.vinted.fr/items/6022717649-sweat-the-north-face-l
North Face XXL,The North Face,10.0,4,15,4.8,25,"Pullover komplett schwarz eingefärbt, und danach wurde er nicht mehr getragen. Ist aber auch nicht mehr der neuste.",https://www.vinted.fr/items/5984029659-north-face-xxl
The North Face Pullover Herren Gr. L,The North Face,28.0,3,4,4.9,64,"Geprüfter Zustand: Sehr gut ✅

100% Original ✅

Tier und rauchfreier Haushalt ✅",https://www.vinted.fr/items/6012614627-the-north-face-pullover-herren-gr-l
Schwarzes The North Face Sweater,The North Face,10.0,3,7,5,10,Schwarzes Sweatshirt mit Seitentasche am linken Ärmel und versteckten Bauchaschen.,https://www.vinted.fr/items/5972133603-schwarzes-the-north-face-sweater
The North Face Pullover/Größe:S,The North Face,4.0,4,6,5,3,Ein sehr schöner und bequemer Pullover.,https://www.vinted.fr/items/5946523171-the-north-face-pullovergrosses
schwarzer The North Face Pullover,The North Face,18.0,3,19,5,43,sehr gut erhaltener The North Face Pullover Gr.XS  mit Rückenprint,https://www.vinted.fr/items/5981637187-schwarzer-the-north-face-pullover
The North Face Sweater | Size M,The North Face,22.99,3,0,5,15,"Kaum getragener North Face Sweater, in gutem Zustand. Perfekt zum Ausgehen oder auch einfach für den Alltag.


📏Maße
Schulter zu Schulter: 44 cm
Länge: 68 cm


📏Größe: M
🖌️Farbe: Schwarz


Bei Fragen gerne melden 🙋 



#Vintage #Y2K #Sweater #TNF #y2k",https://www.vinted.fr/items/6017869097-the-north-face-sweater-size-m
North Face Hoodie ,The North Face,8.0,4,19,5,85,"in gutem Zustand 
bequem",https://www.vinted.fr/items/1742299852-north-face-hoodie
The North Face Half Zip,The North Face,15.0,4,3,3.9,41,"Grau-/mintfarbiger Half Zip von The North Face
Größe:L
Kleine Stelle vorne am Pulli (wie auf dem Bild zu sehen)",https://www.vinted.fr/items/5981774550-the-north-face-half-zip
weißer The North Face Pullover ,The North Face,7.0,Satisfactory,10,4.9,27,"diverse Gebrauchsspuren, gehen aus den Bildern hervor",https://www.vinted.fr/items/4215805608-weisser-the-north-face-pullover
The North Face Vintage Fleece Pullover Herren L Schwarz Half Zip,The North Face,25.0,3,2,5,396,"Schulter zu Schulter: (Breite): 48cm
Achsel zu Achsel: (Breite): 54cm
Nacken bis Bund: (Länge): 71cm 
(Die Angaben können um 3 cm variieren)
Überprüfe die Maße an eigener Vergleichskleidung, um einen Fehlkauf zu vermeiden. Sonst frag uns gerne.
Zustandsranking: 10/10

Ich gebe gerne bis zu 50% Mengenrabatt bei kauf von mehreren Artikeln.

Nice zu rocken.
Wenn du nett fragst, können wir gerne Verhandeln. 🥳
Ich brauche Platz, daher werden wir uns auf eine guten Preis einigen können. 
Bevorzugter Versand über DHL, Hermes oder UPS.

Folge gerne für mehr nice Pieces. Ich lade hier regelmäßig neuen Stuff hoch. 🥰

Ich reserviere maximal 24 Stunden. Wenn die Zahlung nach Ablauf nicht eingegangen ist, geht der Artikel wieder online. 

Wenn du den Rückversand übernimmst, gebe ich dir gerne Geld zurück Garantie. 
 
Bezahlung über Vinted, PayPal oder Banküberweisung möglich. 

Keine Fitpics.

#VintagePullover #Strickpullover #VintageStyle #RetroFashion #SecondHandMode #NachhaltigeMode #VintageLover #PulloverWetter #KuscheligWarm #ModeMitGeschichte #Uniqefinds #90sFashion #80sStyle #CozyVintage #WinterOutfit",https://www.vinted.fr/items/6027657188-the-north-face-vintage-fleece-pullover-herren-l-schwarz-half-zip
The North Face Pulli,The North Face,7.0,3,9,4.7,15,The North Face Long sleeve in schwarz mit Print,https://www.vinted.fr/items/4412632551-the-north-face-pulli
babyblauer north face pullover,The North Face,10.0,3,27,2,4,"kaum getragen, Größe M Damen",https://www.vinted.fr/items/5777779745-babyblauer-north-face-pullover
Punker The North Face Pulli,The North Face,25.0,3,1,5,1,Einmal getragen,https://www.vinted.fr/items/6001949684-punker-the-north-face-pulli
The North Face Hoodie in M Olivegrün,The North Face,10.0,Satisfactory,25,4.2,5,"Der Hoodie hat Gebrauchsspuren, wie auf den Bildern ersichtlich.

Dies ist ein Privatkauf und schließt jegliches Umtauschrecht aus.",https://www.vinted.fr/items/1454226249-the-north-face-hoodie-in-m-olivegrun
Sweatshirt The North Face XL,The North Face,13.0,3,17,4,4,Nichtraucherhaushalt,https://www.vinted.fr/items/5889143857-sweatshirt-the-north-face-xl
The North Face sweater M,The North Face,10.0,3,13,4.4,14,"Paar mal getragen aber ohne Gebrauchsspuren. Mir leider zu groß, würde ihn sonst selbst tragen .
Lg",https://www.vinted.fr/items/5023829789-the-north-face-sweater-m
The North Face Half ZIP Pullover,The North Face,6.0,4,7,4.3,18,"Logo abgegangen über zeit, sonst sehr guter Zustand, Größe: S/M",https://www.vinted.fr/items/5515089243-the-north-face-half-zip-pullover
Sweater Dunkelblau ,The North Face,12.0,4,24,4.3,35,Guter Zustand,https://www.vinted.fr/items/3579699084-sweater-dunkelblau
The North Face Sweater Weiß,The North Face,12.0,4,10,5,13,"Weicher Stoff, Neupreis lag bei 80€",https://www.vinted.fr/items/2933223719-the-north-face-sweater-weiss
The North Face ,The North Face,12.5,4,14,4.6,10,basic,https://www.vinted.fr/items/1374236609-the-north-face
TheNorthFace Pullover Sleeve,The North Face,12.0,3,10,5,15,Original The North Face,https://www.vinted.fr/items/5807510619-thenorthface-pullover-sleeve
The North Face Pullover,The North Face,15.0,3,4,5,3,Selten getragen in sehr gutem Zustand,https://www.vinted.fr/items/5945412508-the-north-face-pullover
Weißer North Face Pullover Gr. M,The North Face,15.0,4,24,4.9,12,"Pullover in gutem Zustand, hat kleines Loch",https://www.vinted.fr/items/2624982307-weisser-north-face-pullover-gr-m
The North Face Pullover,The North Face,15.0,2,13,4.9,114,"Wie neu
Fällt etwas kleiner aus",https://www.vinted.fr/items/5212790475-the-north-face-pullover
The North Face Pullover ,The North Face,15.0,4,13,5,1,Original siehe Bilder,https://www.vinted.fr/items/2768579179-the-north-face-pullover
The North Face Pullover,The North Face,25.0,3,3,5,4,"Schöner, selten getragener Pullover",https://www.vinted.fr/items/5978363150-the-north-face-pullover
The North Face - Essential - Oversize-Sweatshirt in Blau,The North Face,14.0,4,12,4.5,16,"Größe wie angegeben 
Unisex",https://www.vinted.fr/items/3296420690-the-north-face-essential-oversize-sweatshirt-in-blau
The North Face Pullover,The North Face,15.0,3,12,4.4,13,"Schwarzer The North Face Pullover aus eher dicker Baumwolle. Sehr guter Zustand, Größe L (Männer).",https://www.vinted.fr/items/4706667819-the-north-face-pullover
Sweat The North Face,The North Face,15.0,3,6,4.9,573,"Sweat The North Face 
Très bon état 
Taille L",https://www.vinted.fr/items/6041077266-sweat-the-north-face
The North Face sweater,The North Face,15.0,3,11,5,8,Very good quality,https://www.vinted.fr/items/5697833935-the-north-face-sweater
Grauer The North Face Pullover,The North Face,15.0,4,10,4.9,44,"-nicht oft getragen 
-Nichtraucher Haushalt 
-Katzenhaushalt",https://www.vinted.fr/items/5454353019-grauer-the-north-face-pullover
The North Face Pullover,The North Face,15.0,3,13,No rating,No evaluations,Nur selten getragen,https://www.vinted.fr/items/4518206274-the-north-face-pullover
The North Face Hoodie Gr M wie neu,The North Face,13.0,3,7,4.8,171,"Nur 1-2 mal getragen 
Aus den USA",https://www.vinted.fr/items/5334140713-the-north-face-hoodie-gr-m-wie-neu
The North face Pullover schwarz ,The North Face,14.0,4,11,4.8,36,"Gut erhaltener schwarzer The north face pullover, Grösse S, keine Mängel",https://www.vinted.fr/items/2484309352-the-north-face-pullover-schwarz
The North Face sweater,The North Face,20.0,3,1,5,2,"Nicht Raucher Haushalt 

Keine Haustiere 

Größe: M",https://www.vinted.fr/items/5994542428-the-north-face-sweater
The North Face Long sleeve/Langarm Shirt ,The North Face,15.0,3,14,5,5,Sehr gut erhaltenes Long sleeve von The NORTH FACE!,https://www.vinted.fr/items/1937599388-the-north-face-long-sleevelangarm-shirt
The North Face Sweater Herren L,The North Face,30.0,3,8,5,363,"Marke: The North Face
Produkt: Sweatshirt für Herren
Produktnummer: NF0A89EV
Print: kleines Box Log auf der Brust
Farbe: hellgrau 
Größe: L
Material: Baumwolle / Polyester

#thenorthface #tnf #sweatshirt #grey #boxlogo",https://www.vinted.fr/items/5986025465-the-north-face-sweater-herren-l
The North Face Pullover,The North Face,15.0,3,9,4.8,86,"Ist in einem super Zustand.   
Bei Fragen gerne melden.",https://www.vinted.fr/items/5534277557-the-north-face-pullover
altrosa Pullover von the Northface,The North Face,15.0,3,14,4.7,12,"Schöner altrosa Pullover von The Northface in S. 
Kein Verkauf übers System 🌻",https://www.vinted.fr/items/4692831610-altrosa-pullover-von-the-northface
North face hoodie ,The North Face,10.0,3,6,5,24,"Guter Zustand
Bei Fragen gerne melden 😊",https://www.vinted.fr/items/3786763147-north-face-hoodie
The North Face Sweater,The North Face,10.0,4,5,5,88,- Mängel aus den Bildern zu entnehmen,https://www.vinted.fr/items/5153102772-the-north-face-sweater
The North Face Sweatshirt Grau / Blaues Logo auf dem Rücken,The North Face,17.0,4,11,4.5,17,"Moin, 
dieses Sweatshirt wurde einige Male getragen. Es fittet sehr gut! Noch gut erhalten!",https://www.vinted.fr/items/3325220899-the-north-face-sweatshirt-grau-blaues-logo-auf-dem-rucken
The north Face Pullover,The North Face,10.0,4,4,4.6,9,Öfters getragen guter Zustand,https://www.vinted.fr/items/6035575906-the-north-face-pullover
The North Face,The North Face,15.0,3,2,No rating,No evaluations,"Nur ein Mal getragen 

Keine Rückgabe oder Garantie",https://www.vinted.fr/items/6032013490-the-north-face
Fleece pullover black,The North Face,30.0,1,12,4.9,236,New with tags.,https://www.vinted.fr/items/6025164010-fleece-pullover-black
The North Face Fleece Zip Hoodie,The North Face,24.99,3,17,4.9,27,"Wurde etwas getragen aber hat noch einen super Zustand. Keine Verfärbungen, Löcher, etc.",https://www.vinted.fr/items/6021407069-the-north-face-fleece-zip-hoodie
The North Face Pullover Schwarz,The North Face,39.9,2,0,4.7,36,"Super Zustand, Größe S",https://www.vinted.fr/items/6034560058-the-north-face-pullover-schwarz
Sweat The North Face L,The North Face,20.0,3,6,4.2,5,"Sehr guter Zustand. Nichtraucherhaushalt. Versand 3,99€",https://www.vinted.fr/items/6022717649-sweat-the-north-face-l
North Face XXL,The North Face,10.0,4,15,4.8,25,"Pullover komplett schwarz eingefärbt, und danach wurde er nicht mehr getragen. Ist aber auch nicht mehr der neuste.",https://www.vinted.fr/items/5984029659-north-face-xxl
The North Face Pullover Herren Gr. L,The North Face,28.0,3,4,4.9,64,"Geprüfter Zustand: Sehr gut ✅

100% Original ✅

Tier und rauchfreier Haushalt ✅",https://www.vinted.fr/items/6012614627-the-north-face-pullover-herren-gr-l
Schwarzes The North Face Sweater,The North Face,10.0,3,7,5,10,Schwarzes Sweatshirt mit Seitentasche am linken Ärmel und versteckten Bauchaschen.,https://www.vinted.fr/items/5972133603-schwarzes-the-north-face-sweater
The North Face Pullover/Größe:S,The North Face,4.0,4,6,5,3,Ein sehr schöner und bequemer Pullover.,https://www.vinted.fr/items/5946523171-the-north-face-pullovergrosses
schwarzer The North Face Pullover,The North Face,18.0,3,19,5,43,sehr gut erhaltener The North Face Pullover Gr.XS  mit Rückenprint,https://www.vinted.fr/items/5981637187-schwarzer-the-north-face-pullover
The North Face Sweater | Size M,The North Face,22.99,3,0,5,15,"Kaum getragener North Face Sweater, in gutem Zustand. Perfekt zum Ausgehen oder auch einfach für den Alltag.


📏Maße
Schulter zu Schulter: 44 cm
Länge: 68 cm


📏Größe: M
🖌️Farbe: Schwarz


Bei Fragen gerne melden 🙋 



#Vintage #Y2K #Sweater #TNF #y2k",https://www.vinted.fr/items/6017869097-the-north-face-sweater-size-m
North Face Hoodie ,The North Face,8.0,4,19,5,85,"in gutem Zustand 
bequem",https://www.vinted.fr/items/1742299852-north-face-hoodie
The North Face Half Zip,The North Face,15.0,4,3,3.9,41,"Grau-/mintfarbiger Half Zip von The North Face
Größe:L
Kleine Stelle vorne am Pulli (wie auf dem Bild zu sehen)",https://www.vinted.fr/items/5981774550-the-north-face-half-zip
weißer The North Face Pullover ,The North Face,7.0,Satisfactory,10,4.9,27,"diverse Gebrauchsspuren, gehen aus den Bildern hervor",https://www.vinted.fr/items/4215805608-weisser-the-north-face-pullover
