Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
Red Carhartt jumper,Carhartt,8.0,3,10,5,3,Only worn a few times.,https://www.vinted.fr/items/6016029644-red-carhartt-jumper,sweats
Carhartt American Script Sweatshirt L schwarz Crew Neck Sweater,Carhartt,30.0,3,10,5,937,"Rückenlänge 69 cm, Brustweite 59,5 cm.",https://www.vinted.fr/items/6028677308-carhartt-american-script-sweatshirt-l-schwarz-crew-neck-sweater,sweats
Carhartt Strickpullover,Carhartt,12.99,4,2,5,3,Bei Fragen oder für mehr Bilder gerne Nachricht schicken.,https://www.vinted.fr/items/6027619425-carhartt-strickpullover,sweats
Carharrt Sweater M,Carhartt,30.0,3,7,No rating,No evaluations,"Einweindfreier Zustand, kaum getragen. Fällt etwas kleiner aus. Fitted meiner Meinung nach eher wie S",https://www.vinted.fr/items/6026535096-carharrt-sweater-m,sweats
Carhartt crewneck,Carhartt,18.0,Satisfactory,28,4.8,163,"Carhartt crewneck
Size XL",https://www.vinted.fr/items/6016359329-carhartt-crewneck,sweats
Carhartt Sweater,Carhartt,35.0,3,14,5,101,Gerne getragen aber super Zustand,https://www.vinted.fr/items/6021544972-carhartt-sweater,sweats
Pullover,Carhartt,15.0,4,0,4.7,390,"Carhartt Wollpullover
Hat kleine geflickte Stellen, die man aber beim Tragen nicht sieht 
Bei Fragen gerne melden",https://www.vinted.fr/items/6026243685-pullover,sweats
Grüner Carhartt pullover,Carhartt,29.0,4,11,4.3,3,"Oversized
Größe: S
Vorwiegend Baumwolle",https://www.vinted.fr/items/6018300551-gruner-carhartt-pullover,sweats
Carhartt Pullover,Carhartt,20.0,3,3,4.7,14,"Größe L.
Nichtraucher.",https://www.vinted.fr/items/6022263293-carhartt-pullover,sweats
Carhartt Pullover,Carhartt,27.0,2,6,No rating,No evaluations,Selten getragen,https://www.vinted.fr/items/6022256404-carhartt-pullover,sweats
Carhartt Longsleeve,Carhartt,25.0,3,0,5,5,sehr gute zustand,https://www.vinted.fr/items/6028929726-carhartt-longsleeve,sweats
Carhartt black jumper,Carhartt,30.0,3,8,5,32,Great condition,https://www.vinted.fr/items/6018344235-carhartt-black-jumper,sweats
Carhartt Jacke,Carhartt,50.0,3,3,4.1,27,"Carhartt Jacke in grau 
Größe: L 
Zustand: sehr gut",https://www.vinted.fr/items/6026576754-carhartt-jacke,sweats
Carhartt sweater (2 Colors),Carhartt,21.0,4,4,5,5,"Hochqualitatives Sweatshirt von Carhartt, angenehm zu tragen und cool für ausgefallene Outfit Kombinationen. Ist mir leider zu klein geworden, weswegen Ich ihn verkaufe.

Bei Fragen gerne melden",https://www.vinted.fr/items/6022038037-carhartt-sweater-2-colors,sweats
Carhartt Sweatshirt dunkelblau Frottee Stoff,Carhartt,40.0,3,2,5,154,Selten getragen super gemütlich,https://www.vinted.fr/items/6027086686-carhartt-sweatshirt-dunkelblau-frottee-stoff,sweats
Carrhart Sweater,Carhartt,20.0,3,1,4.9,66,"Zustand gut, wie auf den Bildern, bei fragen gerne Melden:)
#vintage #baggy #carrhartvintage",https://www.vinted.fr/items/6026820546-carrhart-sweater,sweats
Carhartt langarm grau,Carhartt,45.0,3,0,5,18,"Hellgrau, dünner sweater",https://www.vinted.fr/items/6028748488-carhartt-langarm-grau,sweats
carharrt dunkelblaues crewneck Pullover,Carhartt,30.0,3,11,4.5,23,selten getragen; gerne über das system kaufen:) oversized fit,https://www.vinted.fr/items/6028101564-carharrt-dunkelblaues-crewneck-pullover,sweats
Carhartt Pulli S,Carhartt,10.0,3,7,4.9,74,"Guter Zustand, selten getragen, Druck unbeschädigt",https://www.vinted.fr/items/6004603775-carhartt-pulli-s,sweats
Carhartt Tatum Rugby Sweat,Carhartt,50.0,3,5,5,10,"Selten getragen, wie neu.",https://www.vinted.fr/items/6017483990-carhartt-tatum-rugby-sweat,sweats
Carhartt Pullover Sweater,Carhartt,28.0,3,2,3,6,"Sehr guter gebrauchter Zustand, keine Mängel, Gr.L",https://www.vinted.fr/items/6020758209-carhartt-pullover-sweater,sweats
Carhartt Jacke grau,Carhartt,50.0,3,3,4.1,27,"Carhartt Jacke grau 
Größe: M
Zustand: sehr gut",https://www.vinted.fr/items/6026585753-carhartt-jacke-grau,sweats
Carhartt Sweatshirt Gr. XS,Carhartt,30.0,3,0,4.9,247,Sehr gut erhaltenes Sweatshirt von Carhartt in Größe XS. Farbe: Dunkelrot,https://www.vinted.fr/items/6027355070-carhartt-sweatshirt-gr-xs,sweats
Carhartt pullover,Carhartt,40.0,2,1,4.6,26,"Neu, nie getragen 
Xs fällt größer aus 
#carhartt #carharttwip #carharttvintage #baggy #oversize #streetwear #streetstyle #vintagestyle",https://www.vinted.fr/items/6025326746-carhartt-pullover,sweats
Carhartt Chase Sweater,Carhartt,29.0,3,1,5,6,Weicher Sweater in gutem Zustand,https://www.vinted.fr/items/6022012705-carhartt-chase-sweater,sweats
Carhartt Sweater M,Carhartt,40.0,4,1,5,284,"Ich verkaufe meinen sehr schönen Carhartt Sweater in der Größe M. 
Er befindet sich in einem guten getragenem Zustand.",https://www.vinted.fr/items/6024469638-carhartt-sweater-m,sweats
Pullover Carhartt L,Carhartt,20.0,3,0,No rating,No evaluations,Größe L,https://www.vinted.fr/items/6019315022-pullover-carhartt-l,sweats
Vintage Carhartt Halfzip Schwarz,Carhartt,35.0,3,7,4.5,17,"Größe: M

Zustand: Sehr gut, selten getragen

Farbe: Schwarz

180cm 75kg

Versand nur per Hermes oder DHL !


#weekday #vintagestyle #style #unisex #knit #sweater #carhartt #carharttwip #halfzip",https://www.vinted.fr/items/6013635429-vintage-carhartt-halfzip-schwarz,sweats
Carhartt Pullover,Carhartt,20.0,3,6,5,23,"Dicker, fester Stoff. Guter Zustand. Weinrote Farbe, leider auf den Bildern nicht so gut zu erkennen. Bei Fragen einfach melden :)",https://www.vinted.fr/items/6011648702-carhartt-pullover,sweats
Blauer Carhartt Sweater,Carhartt,30.0,2,31,5,2,"Nur einmal getragen.

Preis verhandelbar

Original Carhartt",https://www.vinted.fr/items/6004485588-blauer-carhartt-sweater,sweats
Carhartt Chase Crewneck pine green,Carhartt,35.0,3,3,5,38,"Sehr guter gebrauchter Zustand.
Chase Linie, hochwertige Qualität 
Pine green",https://www.vinted.fr/items/6011426742-carhartt-chase-crewneck-pine-green,sweats
Carhartt Pullover Sweater Black Size M,Carhartt,22.95,4,2,5,43,"📏Size: M Lenght: 62cm Width: 48cm
🧽Condition: 7/10
🖌️Color: Black
✅Original
🧺Freshly washed
•1-5 Days Delivery→Insurance
Notes:
• Good quality
• Great fit
🤔Questions→Dm me ✅
#carharttsummer #carharttpullover",https://www.vinted.fr/items/6012808155-carhartt-pullover-sweater-black-size-m,sweats
Carhartt Sweater,Carhartt,45.0,2,1,5,51,Ich trage ihn nicht.,https://www.vinted.fr/items/6023254708-carhartt-sweater,sweats
