Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
Maglietta verde carhartt,Carhartt,12.0,Very good,3,No rating,No evaluations,"Tagli L 
Praticamente nuova indossata pochissime volte 
Spedizioni rapide",https://www.vinted.fr/items/5950279210-maglietta-verde-carhartt
Carhartt Shirt,Carhartt,14.0,Very good,3,5,12,"Guter Zustand, keine ersichtlichen Flecken oder Löcher",https://www.vinted.fr/items/5950239996-carhartt-shirt
TEE shirt carhartt,Carhartt,14.0,Very good,3,5,544,TEE shirt en très bon état,https://www.vinted.fr/items/5950023695-tee-shirt-carhartt
Carhartt wip,Carhartt,17.0,Very good,6,No rating,No evaluations,1 keer gedragen,https://www.vinted.fr/items/5949862674-carhartt-wip
Carhartt blue/ turquoise t shirt,Carhartt,15.0,Very good,4,4.2,28,Perfect condition,https://www.vinted.fr/items/5949846989-carhartt-blue-turquoise-t-shirt
T-shirt Carhartt vert,Carhartt,10.0,Very good,3,5,379,"Porté mais reste en très bon état 
Pas délavé contrairement à la photo 
Taille petit",https://www.vinted.fr/items/5949663120-t-shirt-carhartt-vert
T-shirt carhartt,Carhartt,7.0,Very good,4,4.8,231,T-shirt carhartt,https://www.vinted.fr/items/5949655889-t-shirt-carhartt
Maglietta T-shirt Carhartt,Carhartt,10.0,Very good,3,No rating,No evaluations,"Splendida T-shirt Carhartt da uomo in ottime condizioni, taglia M, ottima vestibilità, vendo per inutilizzo.",https://www.vinted.fr/items/5949589361-maglietta-t-shirt-carhartt
Carhartt Tshirt,Carhartt,5.0,Very good,9,5,14,"-Condition: 8/10😁
-Zwei kleine rote Flecken, sonst perfekter zustand (gibt den richtigen Flair🙃)
-Hochwertiger Stoff (Gewicht~325g) und 100% Baumwolle✅ 
-Fittet M/L
-Perfekt für Sonnige Momente im Frühling und Sommer

Versand bitte per Hermes und bei weiteren Fragen gerne anschreiben🫡",https://www.vinted.fr/items/5949356199-carhartt-tshirt
T-shirt Carhartt - Taille L,Carhartt,10.0,Very good,10,4.4,28,"Je vide mon dressing et vous propose des pulls et t-shirts, parfaits pour compléter votre look.

✔️ État : Très bon état
✔️ Taille : L
✔️ Marque : Carhartt
✔️ Matière : Coton 100%

📦 Envoi rapide et soigné
📍 Remise en main propre possible sur Paris
💰 Prix négociable dans la limite du raisonnable

N’hésitez pas à me poser vos questions ! ☺️",https://www.vinted.fr/items/5949339647-t-shirt-carhartt-taille-l
T-shirt manche longue Carhartt,Carhartt,20.0,Very good,4,4.5,43,"Taille : M 
Marque : Carhartt 
Couleur : blanc 
État : Très bon état",https://www.vinted.fr/items/5949145030-t-shirt-manche-longue-carhartt
Carhartt Shirt,Carhartt,15.0,Very good,5,4.7,29,"Graues Carhartt Shirt, wenig getragen, sehr guter Zustand",https://www.vinted.fr/items/5949064203-carhartt-shirt
Maglietta Carhartt,Carhartt,30.0,Very good,5,5,8,"Maglietta Carhartt colore verde scuro in perfette condizioni, indossata solo un paio di volte.",https://www.vinted.fr/items/5948980332-maglietta-carhartt
Ter shirt carhartt,Carhartt,8.0,Very good,4,4.9,774,TEE shirt xs carhartt rouge très peu porté très bon état,https://www.vinted.fr/items/5948862991-ter-shirt-carhartt
Carhartt   t-Shirt,Carhartt,10.0,Very good,8,4.9,77,In goede staat,https://www.vinted.fr/items/5948777333-carhartt-t-shirt
T-shirt Carhartt imprimé,Carhartt,15.0,Very good,30,4.9,239,T-shirt Carhartt imprimé,https://www.vinted.fr/items/5948521387-t-shirt-carhartt-imprime
T-shirt Carhartt,Carhartt,20.0,Very good,14,4.8,38,"T-shirt Carhartt, très peu porté 
Couleur violet 
Taille XL",https://www.vinted.fr/items/5948374858-t-shirt-carhartt
Camiseta lisa verdosa con bolsillos Carhartt XXL,Carhartt,12.0,Very good,14,5,16,Camiseta lisa verdosa con bolsillos Carhartt XXL,https://www.vinted.fr/items/5948246447-camiseta-lisa-verdosa-con-bolsillos-carhartt-xxl
T shirt carhartt noir relevant parties,Carhartt,15.0,Very good,3,4.9,119,"T shirt carhartt noir relevant parties
Taille L",https://www.vinted.fr/items/5948145063-t-shirt-carhartt-noir-relevant-parties
T shirt carhartt blanc harpe,Carhartt,15.0,Very good,6,4.9,119,"T shirt carhartt blanc harpe
Taille L",https://www.vinted.fr/items/5948141101-t-shirt-carhartt-blanc-harpe
Carhartt T-Shirt manches longues Taille M,Carhartt,8.0,Very good,4,5,39,"Carhartt

T-Shirt manches longues

Taille M",https://www.vinted.fr/items/5948058138-carhartt-t-shirt-manches-longues-taille-m
Carhartt T-shirt,Carhartt,5.0,Very good,5,No rating,No evaluations,Barely worn,https://www.vinted.fr/items/5948007442-carhartt-t-shirt
Camiseta bolsillo carhartt,Carhartt,20.0,Very good,3,3.6,5,Camiseta carhartt talla M esta como nueva!,https://www.vinted.fr/items/5947961060-camiseta-bolsillo-carhartt
Carhartt T-Shirt,Carhartt,10.0,Very good,25,5,6,Größe M,https://www.vinted.fr/items/5947948665-carhartt-t-shirt
t shirt basic carhartt,Carhartt,20.0,Very good,3,4.3,86,T shirt classique bien épais de qualité,https://www.vinted.fr/items/5947933463-t-shirt-basic-carhartt
T-shirt Carhartt,Carhartt,8.0,Very good,3,5,3,T-shirt Carhartt w.i.p. Indossata ma in buone condizioni. Taglia M con vestibilità normale/slim.,https://www.vinted.fr/items/5947734575-t-shirt-carhartt
Tee-shirt Carhartt,Carhartt,9.0,Very good,3,4.1,9,Tee-shirt peu porté,https://www.vinted.fr/items/5947655995-tee-shirt-carhartt
T-shirt Maniche corte Carhartt,Carhartt,12.0,Very good,8,4.8,243,"In ottime condizioni, Taglia XXL
#carhartt #manichelunghe #manichecorteuomo",https://www.vinted.fr/items/5947531017-t-shirt-maniche-corte-carhartt
T-shirt Carhartt,Carhartt,9.0,Very good,41,4.9,944,"T-shirt Carhartt 
Tamanho XS 
Bom estado",https://www.vinted.fr/items/5947491749-t-shirt-carhartt
T-shirt Carhartt,Carhartt,6.5,Very good,3,4.7,30,Jamais porté,https://www.vinted.fr/items/5947446594-t-shirt-carhartt
Gestreept shirt Carhartt,Carhartt,10.95,Very good,25,5,181,"Gestreept shirt Carhartt, voor heren, maat S. Amper gedragen, maar helaas te klein geworden.",https://www.vinted.fr/items/5947430416-gestreept-shirt-carhartt
carhart shirt,Carhartt,10.0,Very good,19,3.3,7,tshirt carhart oversized,https://www.vinted.fr/items/5947243453-carhart-shirt
Carhartt t-shirt kersen,Carhartt,20.0,Very good,6,4.6,104,#cherry #shirt #carhartt #carharttwip #stussy,https://www.vinted.fr/items/5947221732-carhartt-t-shirt-kersen
T-shirt Carhartt rayé,Carhartt,25.0,Very good,3,5,14,No description,https://www.vinted.fr/items/5947220997-t-shirt-carhartt-raye
tshirt manche longue carhartt,Carhartt,10.0,Very good,16,2.3,9,"quasiment jamais porté, en très bon état",https://www.vinted.fr/items/5947160597-tshirt-manche-longue-carhartt
Teeshirt carhartt,Carhartt,10.0,Very good,5,4.9,251,"Teeshirt carhartt 
Taille : M
Porté donc le logo est un peu abîmé",https://www.vinted.fr/items/5947095172-teeshirt-carhartt
maglia carhartt bianca,Carhartt,26.99,Very good,4,4.2,67,"maglia perfetta indossata pochissimo 

spedizione rapida in giornata e sicura✅

contattatemi per info",https://www.vinted.fr/items/5947037399-maglia-carhartt-bianca
Tee-shirts,Carhartt,9.5,Very good,3,3.9,32,Facile à porter,https://www.vinted.fr/items/5947006977-tee-shirts
Carhatt tee,Carhartt,11.0,Very good,3,5,3,"Long sleeve shirt 
Only used twice
Vintage 🔋🔋
Old-school vibes💥💨💨
Size L",https://www.vinted.fr/items/5946981765-carhatt-tee
Carhartt T-shirt,Carhartt,10.0,Very good,7,4.7,57,"Size L
Only worn a few times",https://www.vinted.fr/items/5946924037-carhartt-t-shirt
Carhartt T-Shirt,Carhartt,23.0,Very good,11,5,40,Selten getragen. Bei Fragen gerne melden,https://www.vinted.fr/items/5946901291-carhartt-t-shirt
Carhartt T-Shirt,Carhartt,23.0,Very good,6,5,40,Selten getragen. Bei Fragen gerne melden,https://www.vinted.fr/items/5946893892-carhartt-t-shirt
