Title,Brand,user_url,Type,Price,ItemStatus,NbFavourite,Iduser,URL,photo_url,currency,NbEvalUser,UserRating,Description
North Face t Shirt,The North Face,https://www.vinted.fr/member/186262139-224jara,T-shirts,5.0,3,6,186262139,https://www.vinted.fr/items/6171491336-north-face-t-shirt,https://images1.vinted.net/t/03_00028_Hhr362QXqNg1yH3Mp2uLmBrp/f800/1744993618.jpeg?s=bda9501f03cf6697102cd8950577904e280f715a,EUR,8,5,"Frisch gewaschen 
Rauchfreier Haushalt"
The North Face Tshirt,The North Face,https://www.vinted.fr/member/47087786-analogdigital,T-shirts,10.0,3,27,47087786,https://www.vinted.fr/items/6169956099-the-north-face-tshirt,https://images1.vinted.net/t/04_019f2_3DGTgVY9A2NE66TkNoqZpw8N/f800/1744978268.jpeg?s=bf93751732c647963b43a02336f0783e71c0435a,EUR,116,4.8,Wenig getragen
North Face Shirt,The North Face,https://www.vinted.fr/member/50531641-lisaaaaaas,T-shirts,6.99,4,4,50531641,https://www.vinted.fr/items/6173005363-north-face-shirt,https://images1.vinted.net/t/04_003dd_zLsHYayKLr2Hp5ef6Q8NWP18/f800/1745005291.jpeg?s=1d94368b1cd6a7c2a4b66b61ef9446549f9c87b6,EUR,31,4.9,Guter Zustand
The North Face Tshirt Camouflage,The North Face,https://www.vinted.fr/member/47087786-analogdigital,T-shirts,10.0,3,9,47087786,https://www.vinted.fr/items/6169995689-the-north-face-tshirt-camouflage,https://images1.vinted.net/t/04_02563_xmDvhwQ1hmgi2XQSTkU7d4kN/f800/1744978597.jpeg?s=0b2883b90b100af2893a723efd5d78dc25365dcb,EUR,116,4.8,Wenig getragen
"North Face Longsleeve, Gr. M",The North Face,https://www.vinted.fr/member/45240883-vintaetsch,T-shirts,8.0,3,4,45240883,https://www.vinted.fr/items/6172595295-north-face-longsleeve-gr-m,https://images1.vinted.net/t/03_02268_oo4xg69YThNqxCnb1WWJhcBP/f800/1745000368.jpeg?s=f5b469baa0e6b6271ae2ff95da805ad4e38a0ceb,EUR,15,5,"North Face Longsleeve in ungetragenem Zustand 

Farbe: schwarz 
Gr. M"
T shirt,The North Face,https://www.vinted.fr/member/227527041-sinem-fatih,T-shirts,15.0,3,18,227527041,https://www.vinted.fr/items/6168534648-t-shirt,https://images1.vinted.net/t/04_01003_TuzYB4JJfCY36SShgYEsqQma/f800/1744965554.jpeg?s=0ba64e769b9442bbd494de0db8e96a95679964a6,EUR,171,5,"Gr L
Neu"
Herren T Shirts,The North Face,https://www.vinted.fr/member/80002031-lucahi,T-shirts,3.0,3,15,80002031,https://www.vinted.fr/items/6158974897-herren-t-shirts,https://images1.vinted.net/t/02_01add_xWmdC44b4xV2uS1j3wRV5SBq/f800/1744805804.jpeg?s=46f02ab8b155d5e17885dd65c5e46c1ce252e8d8,EUR,385,5,"Größen S/M/L. Passen einer M. 

Preise einzeln 3-12€. 13 T Shirts. Alles zusammen 6€ pro Shirt!"
T-Shirt The north Face,The North Face,https://www.vinted.fr/member/206191202-xkathiamour,T-shirts,17.0,3,4,206191202,https://www.vinted.fr/items/6171905299-t-shirt-the-north-face,https://images1.vinted.net/t/04_00705_j1VK4XPoaUprp9GuArS7Cb5d/f800/1744993850.jpeg?s=098fbecbe65e9c176b70ac7ad3eb27a62f492595,EUR,14,5,"Keine Rücknahme oder Garantie möglich wegen Privatverkauf.

Zahlung per Paypal Freunde möglich.

Versand gegen Aufpreis möglich."
The North Face - t-Shirt in Hellblau,The North Face,https://www.vinted.fr/member/151935883-tobim8,T-shirts,12.0,3,2,151935883,https://www.vinted.fr/items/6172644522-the-north-face-t-shirt-in-hellblau,https://images1.vinted.net/t/04_01276_wDaokVq7cHG5wuzJ5r9Z1CaS/f800/1745000911.jpeg?s=fbfa012bbbcb5233684fa64b7871b9bd10e6a57d,EUR,10,5,"- selten getragen und ohne Mängel 
- Größe S
- sitzt leicht oversized 

Bei Fragen gerne melden 🙋‍♂️"
The North Face Shirt‘ T-Shirt‘ Summer Shirt,The North Face,https://www.vinted.fr/member/249035507-linusda,T-shirts,9.99,3,23,249035507,https://www.vinted.fr/items/6162202862-the-north-face-shirt-t-shirt-summer-shirt,https://images1.vinted.net/t/01_013a1_v7JNxAFbSh2fQrYSnXzTAyGi/f800/1744834251.jpeg?s=8be79611b5c349435c3dbb73387e3dec053413dd,EUR,2,5,"-sehr guter Zustand 
-Größe XL
-fällt aus wie L
-sehr selten getragen"
