Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL,Type
Carhartt Mantel / Trenchcoat Beige,Carhartt,200.0,2,0,5,1,"Ungetragener Mantel ohne Mängel 

Größe L

https://www.farfetch.com/de/shopping/men/carhartt-wip-einreihiger-newhaven-mantel-item-22308326.aspx?lang=de-DE&size=4&storeid=14449&utm_source=google&utm_medium=cpc&utm_keywordid=203113495&utm_shoppingproductid=22308326-4&pid=google_search&af_channel=Search&c=11188457402&af_c_id=11188457402&af_siteid=&af_keywords=pla-328117329968&af_adset_id=112398664009&af_ad_id=467252264820&af_sub1=203113495&af_sub5=22308326-4&is_retargeting=true&shopping=yes&gad_source=1&gbraid=0AAAAADsmKHSuZDMdWhUHQpVZnuCSlQPfS&gclid=Cj0KCQjwhYS_BhD2ARIsAJTMMQbYEC8p1sbM-ZIp5EFp-j_yNvZIBZQsO-U84pnISK96valTFDEWp_IaAoysEALw_wcB",https://www.vinted.fr/items/6027359288-carhartt-mantel-trenchcoat-beige,manteaux
Carhartt WIP Kilda Jacket,Carhartt,110.0,1,10,4.8,8,"Verkaufe diese Carhartt Jacke in Camel, perfekt für Winter und Übergangszeit! 🌨️🍂
	•	Größe M (lockere Passform)
	•	Neu mit Etikett 🏷️
	•	Verstellbare Kapuze 🏕️
	•	Mehrere praktische Taschen 🔥
	•	Robustes und widerstandsfähiges Material 💪

Trendiger Workwear-Style 💯💼
📍 Schneller und sicherer Versand 📦✉️

Bei Fragen einfach melden! 😊",https://www.vinted.fr/items/5989867275-carhartt-wip-kilda-jacket,manteaux
Carhartt Trenchcoat Kurzmantel Grösse XL,Carhartt,139.0,2,2,5,7,Ungetragen leider zu gross,https://www.vinted.fr/items/5989107593-carhartt-trenchcoat-kurzmantel-grosse-xl,manteaux
"grauer Carhartt Jenison Coat, Wollmischung, Gr. M",Carhartt,149.0,3,6,5,9,"Kerniger Wollmantel von Carhartt aus Wollmischung (60% Polyester,40%Wolle).
Modell Jenison Coat in Größe M.
Sehr guter Artikelzustand.
Maße:
Brust:               58 cm
Schulter:          50 cm
Arm innen:       46 cm
Arm außen:      65 cm
Länge:              97 cm",https://www.vinted.fr/items/5967790373-grauer-carhartt-jenison-coat-wollmischung-gr-m,manteaux
schwarzer Parka von Carhartt,Carhartt,120.0,2,42,4.8,115,"- nie getragen
- neuwertiger Zustand
- Größe XXL
—————
Bezahlung nur per Paypal oder Überweisung",https://www.vinted.fr/items/1598951477-schwarzer-parka-von-carhartt,manteaux
Carhartt Trent Parka Gr.S,Carhartt,109.0,1,19,5,206,"Neu mit Etikett 

Carhartt Jacke perfekt geeignet für den Frühling

Ladenpreis: 249,95€",https://www.vinted.fr/items/4221695682-carhartt-trent-parka-grs,manteaux
Man coat,Carhartt,110.0,3,0,5,2,"In a very good condition, has no damage",https://www.vinted.fr/items/5962711675-man-coat,manteaux
Carhartt Stowe Parka Gr. XL,Carhartt,130.0,2,8,4.8,18,"Sehr warmer Winterparka. Zustand wie neu. 
Bei Fragen gerne melden.

Neupreis liegt bei ca. 250€",https://www.vinted.fr/items/5883312155-carhartt-stowe-parka-gr-xl,manteaux
Carhartt Winterjacke ,Carhartt,110.0,3,10,5,1,Carhartt Winterjacke in Größe M. Einen Winter getragen in sehr guten Zustand .,https://www.vinted.fr/items/2521221214-carhartt-winterjacke,manteaux
Carhartt Jacke schwarz XL,Carhartt,110.0,3,12,No rating,No evaluations,"Kaum getragene Jacke der Marke Carhartt
In schwarz",https://www.vinted.fr/items/1396980335-carhartt-jacke-schwarz-xl,manteaux
